language,keywords,note,year,url,publisher,author,title,ENTRYTYPE,ID,contributor,howpublished
{en},{Speech and Hearing},"{Source: The Hearing Journal ; volume 73, issue 11, page 8,9 ; ISSN 0745-7472}",2020,http://dx.doi.org/10.1097/01.hj.0000722496.35603.8a,{Ovid Technologies (Wolters Kluwer Health)},"Crowson, Matthew G.",{Artificial Intelligence to Support Hearing Loss Diagnostics},article,1ca093c245a226bbb3ba4db5a51894248dce81f3c64da32bbd0d4d7e31897a9f,,
{en},{Speech and Hearing},"{Source: The Hearing Journal ; volume 74, issue 5, page 20,21 ; ISSN 0745-7472}",2021,http://dx.doi.org/10.1097/01.hj.0000752308.11373.cb,{Ovid Technologies (Wolters Kluwer Health)},"Crowson, Matthew G.",{Predicting Depression from Hearing Loss Using Artificial Intelligence},article,7830a35815abc859a842a02284f1e47f3cdb2748554de6adfcb9d6478c9bde1a,,
{en},{Multidisciplinary},"{Source: Scientific Reports ; volume 12, issue 1 ; ISSN 2045-2322 ; Description: Abstract Despite the significance of predicting the prognosis of idiopathic sudden sensorineural hearing loss (ISSNHL), no predictive models have been established. This study used artificial intelligence to develop prognosis models to predict recovery from ISSNHL. We retrospectively reviewed the medical data of 453 patients with ISSNHL (men, 220; women, 233; mean age, 50.3 years) who underwent treatment at a tertiary hospital between January 2021 and December 2019 and were followed up after 1 month. According to Siegel{\textquoteright}s criteria, 203 patients recovered in 1 month. Demographic characteristics, clinical and laboratory data, and pure-tone audiometry were analyzed. Logistic regression (baseline), a support vector machine, extreme gradient boosting, a light gradient boosting machine, and multilayer perceptron were used. The outcomes were the area under the receiver operating characteristic curve (AUROC) primarily, area under the precision-recall curve, Brier score, balanced accuracy, and F1 score. The light gradient boosting machine model had the best AUROC and balanced accuracy. Together with multilayer perceptron, it was also significantly superior to logistic regression in terms of AUROC. Using the SHapley Additive exPlanation method, we found that the initial audiogram shape is the most important prognostic factor. Machine/deep learning methods were successfully established to predict the prognosis of ISSNHL.}",2022,http://dx.doi.org/10.1038/s41598-022-07881-2,{Springer Science and Business Media LLC},"Lee, Min Kyu AND Jeon, Eun-Tae AND Baek, Namyoung AND Kim, Jeong Hwan AND Rah, Yoon Chan AND Choi, June",{Prediction of hearing recovery in unilateral sudden sensorineural hearing loss using artificial intelligence},article,9158d0bbce26d12ea481340f7390bb51b416245de56f219c4d04ed133ca6b2ea,{Korea University Grants},
{EN},{Medicine},"{Source: Scientific Reports, Vol 12, Iss 1, Pp 1-10 (2022) ; Description: Abstract Despite the significance of predicting the prognosis of idiopathic sudden sensorineural hearing loss (ISSNHL), no predictive models have been established. This study used artificial intelligence to develop prognosis models to predict recovery from ISSNHL. We retrospectively reviewed the medical data of 453 patients with ISSNHL (men, 220; women, 233; mean age, 50.3 years) who underwent treatment at a tertiary hospital between January 2021 and December 2019 and were followed up after 1 month. According to Siegel{\textquoteright}s criteria, 203 patients recovered in 1 month. Demographic characteristics, clinical and laboratory data, and pure-tone audiometry were analyzed. Logistic regression (baseline), a support vector machine, extreme gradient boosting, a light gradient boosting machine, and multilayer perceptron were used. The outcomes were the area under the receiver operating characteristic curve (AUROC) primarily, area under the precision-recall curve, Brier score, balanced accuracy, and F1 score. The light gradient boosting machine model had the best AUROC and balanced accuracy. Together with multilayer perceptron, it was also significantly superior to logistic regression in terms of AUROC. Using the SHapley Additive exPlanation method, we found that the initial audiogram shape is the most important prognostic factor. Machine/deep learning methods were successfully established to predict the prognosis of ISSNHL.}",2022,https://doi.org/10.1038/s41598-022-07881-2,{Nature Portfolio},Min Kyu Lee AND Eun-Tae Jeon AND Namyoung Baek AND Jeong Hwan Kim AND Yoon Chan Rah AND June Choi,{Prediction of hearing recovery in unilateral sudden sensorineural hearing loss using artificial intelligence},article,6cfbbc993d05376d1be834ec593581d78e83499da31cdf53234964d7d2ee2282,,
{EN},{hearing-loss symptoms},"{Source: Sustainability; Volume 13; Issue 10; Pages: 5406 ; Description: Multidisciplinary Digital Publishing Institute ; Physicians depend on their insight and experience and on a fundamentally indicative or symptomatic approach to decide on the possible ailment of a patient. However, numerous phases of problem identification and longer strategies can prompt a longer time for consulting and can subsequently cause other patients that require attention to wait for longer. This can bring about pressure and tension concerning those patients. In this study, we focus on developing a decision-support system for diagnosing the symptoms as a result of hearing loss. The model is implemented by utilizing machine learning techniques. The Frequent Pattern Growth (FP-Growth) algorithm is used as a feature transformation method and the multivariate Bernoulli na{\""\i}ve Bayes classification model as the classifier. To find the correlation that exists between the hearing thresholds and symptoms of hearing loss, the FP-Growth and association rule algorithms were first used to experiment with small sample and large sample datasets. The result of these two experiments showed the existence of this relationship, and that the performance of the hybrid of the FP-Growth and na{\""\i}ve Bayes algorithms in identifying hearing-loss symptoms was found to be efficient, with a very small error rate. The average accuracy rate and average error rate for the multivariate Bernoulli model with FP-Growth feature transformation, using five training sets, are 98.25\% and 1.73\%, respectively.}",2021,https://doi.org/10.3390/su13105406,,Mohd Khanapi Abd Ghani AND Nasir G. Noma AND Mazin Abed Mohammed AND Karrar Hameed Abdulkareem AND Begonya Garcia-Zapirain AND Mashael S. Maashi AND Salama A. Mostafa,{Innovative Artificial Intelligence Approach for Hearing-Loss Symptoms Identification Model Using Machine Learning Techniques},misc,06fe4d8387ec01609152b04cdfc03887f18094b39aeedf0d3f45812e7a44c757,,
{EN},{hearing-loss symptoms},"{Source: Sustainability, Vol 13, Iss 5406, p 5406 (2021) ; Description: Physicians depend on their insight and experience and on a fundamentally indicative or symptomatic approach to decide on the possible ailment of a patient. However, numerous phases of problem identification and longer strategies can prompt a longer time for consulting and can subsequently cause other patients that require attention to wait for longer. This can bring about pressure and tension concerning those patients. In this study, we focus on developing a decision-support system for diagnosing the symptoms as a result of hearing loss. The model is implemented by utilizing machine learning techniques. The Frequent Pattern Growth (FP-Growth) algorithm is used as a feature transformation method and the multivariate Bernoulli na{\""\i}ve Bayes classification model as the classifier. To find the correlation that exists between the hearing thresholds and symptoms of hearing loss, the FP-Growth and association rule algorithms were first used to experiment with small sample and large sample datasets. The result of these two experiments showed the existence of this relationship, and that the performance of the hybrid of the FP-Growth and na{\""\i}ve Bayes algorithms in identifying hearing-loss symptoms was found to be efficient, with a very small error rate. The average accuracy rate and average error rate for the multivariate Bernoulli model with FP-Growth feature transformation, using five training sets, are 98.25\% and 1.73\%, respectively.}",2021,https://doi.org/10.3390/su13105406,{MDPI AG},Mohd Khanapi Abd Ghani AND Nasir G. Noma AND Mazin Abed Mohammed AND Karrar Hameed Abdulkareem AND Begonya Garcia-Zapirain AND Mashael S. Maashi AND Salama A. Mostafa,{Innovative Artificial Intelligence Approach for Hearing-Loss Symptoms Identification Model Using Machine Learning Techniques},article,1d3953ebf37cb3b504828eee1356c2781bd59a6d07fd8e5604d88232c4955a6c,,
{en},{Multidisciplinary},"{Source: Arabian Journal for Science and Engineering ; volume 48, issue 11, page 14883-14899 ; ISSN 2193-567X 2191-4281}",2023,http://dx.doi.org/10.1007/s13369-023-07927-1,{Springer Science and Business Media LLC},"Sankari, V. M. Raja AND Snekhalatha, U. AND Murugappan, M. AND Chowdhury, Muhammad E. H. AND Chamkha, Zeinab A.",{Artificial Intelligence-Based Hearing Loss Detection Using Acoustic Threshold and Speech Perception Level},article,7a4940223e75199d0c3ec54178a93042eb93b1f0ffd127a275252e880aa80978,,
,,"{Description: Physicians depend on their insight and experience and on a fundamentally indicative or symptomatic approach to decide on the possible ailment of a patient. However, numerous phases of problem identification and longer strategies can prompt a longer time for consulting and can subsequently cause other patients that require attention to wait for longer. This can bring about pressure and tension concerning those patients. In this study, we focus on developing a decision-support system for diagnosing the symptoms as a result of hearing loss. The model is implemented by utilizing machine learning techniques. The Frequent Pattern Growth (FP-Growth) algorithm is used as a feature transformation method and the multivariate Bernoulli na{\""\i}ve Bayes classification model as the classifier. To find the correlation that exists between the hearing thresholds and symptoms of hearing loss, the FP-Growth and association rule algorithms were first used to experiment with small sample and large sample datasets. The result of these two experiments showed the existence of this relationship, and that the performance of the hybrid of the FP-Growth and na{\""\i}ve Bayes algorithms in identifying hearing-loss symptoms was found to be efficient, with a very small error rate. The average accuracy rate and average error rate for the multivariate Bernoulli model with FP-Growth feature transformation, using five training sets, are 98.25\% and 1.73\%, respectively. ; hearing-loss symptoms; frequent pattern growth; multivariate Bernoulli na{\""\i}ve Bayes; machine learning techniques; identification model}",,https://www.mdpi.com/2071-1050/13/10/5406/pdf,,Mohd Khanapi Abd Ghani AND Nasir G. Noma AND Mazin Abed Mohammed AND Karrar Hameed Abdulkareem AND Begonya Garcia-Zapirain AND Mashael S. Maashi AND Salama A. Mostafa,{Innovative Artificial Intelligence Approach for Hearing-Loss Symptoms Identification Model Using Machine Learning Techniques},article,a5b4385ce702d812526c42ef9f2ae1b19035c368edbe20d957c9cfe3988733cc,,
{en},"{Public Health, Environmental and Occupational Health}","{Source: International Archives of Occupational and Environmental Health ; volume 88, issue 6, page 779-787 ; ISSN 0340-0131 1432-1246}",2014,http://dx.doi.org/10.1007/s00420-014-1004-z,{Springer Science and Business Media LLC},"Aliabadi, Mohsen AND Farhadian, Maryam AND Darvishi, Ebrahim",{Prediction of hearing loss among the noise-exposed workers in a steel factory using artificial intelligence approach},article,5a61a98a3db23713ad7171e66525e81493e217e2f750c1bf824fdab315fea05a,,
{en},{Speech and Hearing},"{Source: The Hearing Journal ; volume 72, issue 6, page 8,9 ; ISSN 0745-7472}",2019,http://dx.doi.org/10.1097/01.hj.0000558452.52280.9b,{Ovid Technologies (Wolters Kluwer Health)},"Shew, Matthew AND Staecker, Hinrich",{Using Machine Learning to Predict Sensorineural Hearing Loss},article,0450550955d30e032e8f8b74552d710d13dd4a8de0b7c0826e5d2778e65705df,,
