ORN,VN,DB,UI,TI,SO,AU,AO,IN,PB,AB,FTURL,XL,PM
1,Ovid Technologies,Embase,2023147024,Predicting hearing help-seeking: What features are important for a profiling module within a hearing mHealth application?.,"medRxiv. (no pagination), 2023. Date of Publication: 15 Feb 2023.","Angonese G.

Buhl M.

Kuhlmann I.

Kollmeier B.

Hildebrandt A.","Angonese, Giulia; ORCID: https://orcid.org/0000-0002-5053-1358

Hildebrandt, Andrea; ORCID: https://orcid.org/0000-0001-5564-0126","(Angonese, Buhl, Kuhlmann, Kollmeier, Hildebrandt) Cluster of Excellence 'Hearing4all', Oldenburg, Germany

(Angonese, Kuhlmann, Hildebrandt) Department of Psychology, Psychological Methods and Statistics, Carl von Ossietzky Universitat Oldenburg, Germany

(Buhl, Kollmeier) Department of Medical Physics and Acoustics, Carl von Ossietzky Universitat Oldenburg, Germany

(Kollmeier, Hildebrandt) Research Center Neurosensory Science, Carl von Ossietzky Universitat, Oldenburg, Germany

(Buhl) Institut Pasteur, Universite Paris Cite, Inserm, Institut de l'Audition, Paris F-75012, France",medRxiv,"Background: Mobile health care solutions can improve quality, accessibility and equity of health services, fostering early rehabilitation. For people suffering from hearing loss, mobile applications might be designed to support the decision-making processes in auditory diagnostics and to provide treatment recommendations to the user (e.g., hearing aid need). For some individuals, such mobile app might be the first contact with a hearing diagnostic service and should motivate users with hearing loss to seek professional help. Objective(s): This study aims at characterizing individuals who are more or less prone to seek professional help after the repeated use of an app-based hearing test. The goal is to develop a profiling module building upon hearing related traits and personality characteristics to secure personalized treatment recommendations in hearing mHealth solutions. Method(s): N=185 (106 females) non-aided older individuals (Mage=63.8, SDage=6.6) with subjective hearing loss participated in a comprehensive online study. We collected cross-sectional and longitudinal data on several hearing-related and psychological features that were previously found to predict hearing help-seeking. Readiness to seek help was assessed as outcome variable at study-end and after two months. Participants were classified into help-seekers and non-seekers with several supervised machine learning algorithms (Random Forest, Naive Bayes and Support Vector Machine). The most relevant features for prediction were identified with feature importance analysis. Result(s): The algorithms correctly predicted action to seek help at study-end in 66 to 70% of cases, reaching 75% classification accuracy at follow-up. Among the most important features for classifications were the degree of hearing loss and its perceived consequences in daily life, attitude towards hearing aids, and the personality traits neuroticism and conscientiousness. Conclusion(s): This study contributes to the identification of individual characteristics that predict help-seeking in older individuals with self-perceived hearing loss. Suggestions for the implementation of an individual profiling algorithm and for targeted recommendations in hearing mHealth applications are derived.Copyright The copyright holder for this preprint is the author/funder, who has granted medRxiv a license to display the preprint in perpetuity. It is made available under a CC-BY-NC-ND 4.0 International license.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=empp&DO=10.1101%2f2023.02.14.23285904,SFX,
2,Ovid Technologies,Embase,2024392192,Noise-induced synaptopathy impacts the long and short sensory hair cells differently in the mammalian cochlea.,"bioRxiv. (no pagination), 2023. Date of Publication: 01 Mar 2023.","Hua Y.

Lu Y.

Liu J.

Li B.

Wang S.

Wang H.

Wang F.

Wu H.

Han H.","Hua, Yunfeng; ORCID: https://orcid.org/0000-0003-0072-7122","(Hua, Lu, Li, Wu) Department of Otolaryngology-Head and Neck Surgery, Shanghai Ninth People's Hospital, Shanghai, China

(Hua, Lu, Li, Wu) Ear Institute, Shanghai Jiao Tong University School of Medicine, Shanghai, China

(Hua, Lu, Li, Wu) Shanghai Key Laboratory of Translational Medicine on Ear and Nose Diseases, Shanghai, China

(Hua, Lu, Wang, Wang, Wang, Wu) Shanghai Institute of Precision Medicine, Ninth People's Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, China

(Liu, Han) Research Center for Brain-inspired Intelligence, Institute of Automation, Chinese Academy of Sciences, Beijing, China

(Han) School of Artificial Intelligence, School of Future Technology, University of Chinese Academy of Sciences, Huairou District, Beijing, China

(Han) State Key Laboratory of Multimodal Artificial Intelligence Systems, Institute of Automation, Chinese Academy of Sciences, Beijing, China",bioRxiv,"In the mammalian cochlea, moderate acoustic overexposure leads to irreversible loss of ribbon-type synapse between sensory inner hair cell (IHC) and its postsynaptic auditory nerve fiber (ANF), causing a reduced dynamic range of hearing but not a permanently-elevated threshold. A prevailing view is that such ribbon loss (known as synaptopathy) selectively impacts those low-spontaneous-rate and high-threshold ANFs contacting predominantly the modiolar face of IHCs. However, the spatial pattern of synaptopathy remains scarce in the most sensitive mid-cochlear region, where long and short IHCs with distinct ribbon size gradients coexist. Here, we used volume electron microscopy to investigate noise exposure-related changes in the mouse IHCs with and without ribbon loss. Our quantifications reveal that the worst-hit areas of synaptopathy are the modiolar face of long IHCs and the pillar face of short IHCs. Moreover, we show relative enrichment of mitochondrial content in the survived ANF terminals, providing key experimental evidence for the long-proposed role of postsynaptic mitochondria in selective ribbon synapse degeneration following noise insult.Copyright The copyright holder for this preprint is the author/funder, who has granted bioRxiv a license to display the preprint in perpetuity. All rights reserved. No reuse allowed without permission.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=empp&DO=10.1101%2f2023.02.27.530354,SFX,
3,Ovid Technologies,Embase,2023663067,Cochlear transcriptome analysis of an outbred mouse population (CFW).,"bioRxiv. (no pagination), 2023. Date of Publication: 15 Feb 2023.","Boussaty E.C.

Tedeschi N.

Novotny M.

Ninoyu Y.

Du E.

Draf C.

Zhang Y.

Manor U.

Scheuermann R.H.

Friedman R.",,"(Boussaty, Ninoyu, Du, Draf, Friedman) Department of Otolaryngology, University of California, San Diego, CA, United States

(Tedeschi, Novotny, Zhang, Scheuermann) J. Craig Venter Institute, La Jolla, CA, United States

(Scheuermann) Department of Pathology, University of California, San Diego, CA, United States

(Manor) Salk Institute for Biological Studies, Waitt Advanced Biophotonics Center, La Jolla, CA, United States",bioRxiv,"Age-related hearing loss (ARHL) is the most common cause of hearing loss and one of the most prevalent conditions affecting the elderly worldwide. Despite evidence from our lab and others about its polygenic nature, little is known about the specific genes, cell types and pathways involved in ARHL, impeding the development of therapeutic interventions. In this manuscript, we describe, for the first time, the complete cell-type specific transcriptome of the aging mouse cochlea using snRNA-seq in an outbred mouse model in relation to auditory threshold variation. Cochlear cell types were identified using unsupervised clustering and annotated via a three-tiered approach - first by linking to expression of known marker genes, then using the NS-Forest algorithm to select minimum cluster-specific marker genes and reduce dimensional feature space for statistical comparison of our clusters with existing publicly-available data sets on the gEAR website (https://umgear.org/), and finally, by validating and refining the annotations using Multiplexed Error Robust Fluorescence In Situ Hybridization (MERFISH) and the cluster-specific marker genes as probes. We report on 60 unique cell-types expanding the number of defined cochlear cell types by more than two times. Importantly, we show significant specific cell type increases and decreases associated with loss of hearing acuity implicating specific subsets of hair cell subtypes, ganglion cell subtypes, and cell subtypes withing the stria vascularis in this model of ARHL. These results provide a view into the cellular and molecular mechanisms responsible for age-related hearing loss and pathways for therapeutic targeting.Copyright The copyright holder for this preprint is the author/funder, who has granted bioRxiv a license to display the preprint in perpetuity. It is made available under a CC-BY-NC-ND 4.0 International license.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=empp&DO=10.1101%2f2023.02.15.528661,SFX,
4,Ovid Technologies,Embase,2024975291,The Australian Eye and Ear Health Survey (AEEHS): Study protocol for a population-based cross-sectional study.,"medRxiv. (no pagination), 2023. Date of Publication: 25 May 2023.","Kha R.

Macken O.

Mitchell P.

Liew G.

Keay L.

Waddell C.

Yang E.

Do V.

Fricke T.

Newall J.

Gopinath B.","Kha, Richard; ORCID: https://orcid.org/0000-0003-2613-7980","(Kha, Mitchell, Liew, Do) Centre for Vision Research, Department of Ophthalmology, The Westmead Institute for Medical Research, Westmead, Sydney, NSW, Australia

(Macken) Macquarie University Hearing, Faculty of Medicine, Health and Human Sciences, The Australian Hearing Hub, Macquarie University, NSW, Australia

(Keay, Yang, Fricke, Newall, Gopinath) School of Optometry and Vision Science, Faculty of Science, UNSW Sydney, Sydney, NSW, Australia

(Waddell, Fricke) Brien Holden Foundation, Sydney, NSW, Australia",medRxiv,"Introduction: Vision and hearing impairments are highly prevalent and have a significant impact on physical, psychological and social wellbeing. There is a need for accurate, contemporary national data on the prevalence, risk factors and impacts of vision and hearing loss in Australian adults. Objective(s): The Australian Eye and Ear Health Survey (AEEHS) aims to determine the prevalence, risk factors and impacts of vision and hearing loss in both Aboriginal and Torres Strait Islander and non-Indigenous older adults. Methods and analysis: The AEEHS is a population-based cross-sectional survey which will include 5,000 participants (3250 non-Indigenous aged 50 years or older and 1750 Aboriginal and Torres Strait Islander people aged 40 years or older) from 30 sites covering urban and rural/regional geographic areas, selected using a multi-stage, random cluster sampling strategy. Questionnaires will be administered to collect data on socio-demographic, medical, ocular and otological history. The testing battery includes assessment of blood pressure, blood sugar, anthropometry, visual acuity (presenting, unaided, pinhole and best-corrected), refraction, tonometry, slit lamp and dilated eye examination, ocular imaging including optical coherence tomography (OCT), OCT-angiography and retinal photography, and automated visual fields. Audiometry, tympanometry and video otoscopy will also be performed. The primary outcomes are age-standardised prevalence of cause-specific vision and hearing impairment. Secondary outcomes are prevalence of non-blinding eye diseases (including dry eye disease), patterns in health service utilisation, universal health coverage metrics, risk factors for vision and hearing impairment, and impact on quality of life. Ethics: The protocol for this study was approved by the University of Sydney Human Research Ethics Committee (HREC-2020/818) and Australian Institute of Aboriginal and Torres Strait Islander Studies (AIATSIS) Research Ethics Committee (HREC-EO303-20211008). Dissemination of results: Our findings will be disseminated through presentation at meetings and peer-reviewed publications. Findings will also be widely disseminated by project partners with the aim of improving public health policy directives and equitable service delivery to prevent avoidable vision and hearing impairment in Australia.Copyright The copyright holder for this preprint is the author/funder, who has granted medRxiv a license to display the preprint in perpetuity. All rights reserved. No reuse allowed without permission.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=empp&DO=10.1101%2f2023.05.25.23290454,SFX,
5,Ovid Technologies,Embase,2021262409,Distorted neural signal dynamics create hypersensitivity to background noise after hearing loss.,"bioRxiv. (no pagination), 2022. Date of Publication: 07 Oct 2022.","Sabesan S.

Fragner A.

Lesica N.A.",,"(Sabesan, Lesica) Ear Institute, University College London, United Kingdom

(Fragner) Perceptual Technologies, London, United Kingdom",bioRxiv,"Listeners with hearing loss often struggle to understand speech in noise, even with a hearing aid. To better understand the auditory processing deficits that underlie this problem, we made large-scale brain recordings from gerbils, a common animal model for human hearing, while presenting a large database of speech and noise sounds. We first used manifold learning to identify the neural subspace in which speech is encoded and found that it is low-dimensional and that the dynamics within it are profoundly distorted by hearing loss. We then trained a deep neural network (DNN) to replicate the neural coding of speech with and without hearing loss and analyzed the underlying network dynamics. We found that hearing loss primarily impacts spectral processing, creating nonlinear distortions in cross-frequency interactions that result in a hypersensitivity to background noise that persists even after amplification with a hearing aid. Our results identify a new focus for efforts to design improved hearing aids and demonstrate the power of DNNs as a tool for the study of central brain structures.Copyright The copyright holder for this preprint is the author/funder, who has granted bioRxiv a license to display the preprint in perpetuity. All rights reserved. No reuse allowed without permission.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=empp&DO=10.1101%2f2022.10.04.510811,SFX,
6,Ovid Technologies,Embase,2021629380,Machine Learning-Enabled Prediction of Speech Perception Improvement Based on Diffusion Tensor Imaging of Young Cochlear Implant Candidates.,"medRxiv. (no pagination), 2022. Date of Publication: 28 Nov 2022.","Geng X.

Wong P.C.M.

Tournis E.

Ryan M.

Young N.M.","Geng, Xiujuan; ORCID: https://orcid.org/0000-0003-4953-0208

Wong, Patrick C.M.; ORCID: https://orcid.org/0000-0002-6105-5027

Ryan, Maura; ORCID: https://orcid.org/0000-0002-1607-3509

Young, Nancy M.; ORCID: https://orcid.org/0000-0003-1498-2984","(Geng, Wong) Brain and Mind Institute, The Chinese University of Hong Kong, Hong Kong

(Wong) Department of Linguistics and Modern Languages, The Chinese University of Hong Kong, Hong Kong

(Wong) Department of Otorhinolaryngology, Head and Neck Surgery, The Chinese University of Hong Kong, Hong Kong

(Tournis) Department of Audiology, Ann & Robert H Lurie Children's Hospital of Chicago, United States

(Ryan) Department of Medical Imaging, Ann & Robert H Lurie Children's Hospital of Chicago, United States

(Ryan) Department of Medical Imaging, Northwestern University Feinberg School of Medicine, United States

(Young) Department Otolaryngology - Head & Neck Surgery, Northwestern University, Feinberg School of Medicine, United States

(Young) Division of Otolaryngology-Head & Neck Surgery, Ann & Robert H Lurie Children's Hospital of Chicago, United States

(Young) Knowles Hearing Center, Northwestern University, School of Communication, United States",medRxiv,"Prediction of improvement in speech perception after cochlear implantation (CI) is clinically important to optimize pediatric habilitation. Conventional methods using non-neural measures do not permit accurate prediction on the individual child level. In this study, we investigate whether white matter patterns detected by diffusion tensor imaging (DTI) magnetic resonance imaging (MRI) predict speech perception improvement. Pre-surgical DTI of CI candidates was compared to matched normal-hearing (NH) children to determine cortical regions affected by hearing impairment. Speech Recognition Index in Quiet was measured at baseline and 6 months post implantation to compute improvement in speech perception. Machine learning prediction of speech perception improvement (high or low) was performed using non-imaging and DTI white matter characteristics of whole, affected and unaffected brain. Affected and unaffected white matter regions were determined by comparing DTI multi-voxel pattern similarity maps of white matter integrity indices between CI and NH. Abnormal white matter patterns were found throughout brain of CI candidates. Prediction of 6-month post-CI improvement accuracy, sensitivity and specificity using unaffected regions (0.86, 0.91, 0.80, respectively) and whole brain white matter (0.85, 0.91, 0.80, respectively) yielded similar results, and were more predictive than regions affected by hearing impairment (0.72, 0.74, 0.70, respectively) or non-imaging features (0.67, 0.55, 0.78, respectively). Findings support that presurgical neural white matter pathways, especially in the association auditory and cognitive regions not affected by auditory deprivation, play a critical role in speech development after CI and are more predictive of outcome than traditional non-neural variables such as age at implant.Copyright The copyright holder for this preprint is the author/funder, who has granted medRxiv a license to display the preprint in perpetuity. All rights reserved. No reuse allowed without permission.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=empp&DO=10.1101%2f2022.11.22.22282362,SFX,
7,Ovid Technologies,Embase,2019454571,Cortical-brainstem interplay during speech perception in older adults with and without hearing loss.,"bioRxiv. (no pagination), 2022. Date of Publication: 05 Jun 2022.","Lai J.

Alain C.

Bidelman G.M.","Lai, Jesyin; ORCID: https://orcid.org/0000-0003-1139-7675

Alain, Claude; ORCID: https://orcid.org/0000-0003-4459-1538

Bidelman, Gavin M.; ORCID: https://orcid.org/0000-0002-1821-3261","(Lai, Bidelman) Institute for Intelligent Systems, University of Memphis, Memphis, TN, United States

(Lai, Bidelman) School of Communication Sciences and Disorders, University of Memphis, Memphis, TN, United States

(Lai) Diagnostic Imaging Department, St. Jude Children's Research Hospital, Memphis, TN, United States

(Alain) Rotman Research Institute, Baycrest Centre for Geriatric Care, Toronto, ON, Canada

(Bidelman) Department of Speech, Language and Hearing Sciences, Indiana University, Bloomington, IN, United States

(Bidelman) Program in Neuroscience, Indiana University, Bloomington, IN, United States",bioRxiv,"Real-time modulation of brainstem frequency-following responses (FFRs) by online changes in cortical arousal state via the corticofugal (top-down) pathway has been demonstrated previously in young adults and is more prominent in the presence of background noise. FFRs during high cortical arousal states also have a stronger relationship with speech perception. Aging is associated with increased auditory brain responses, which might reflect degraded inhibitory processing within the peripheral and ascending pathways, or changes in attentional control regulation via descending auditory pathways. Here, we tested the hypothesis that online corticofugal interplay is impacted by age-related hearing loss. We measured EEG in older adults with normal-hearing (NH) and mild to moderate hearing-loss (HL) while they performed speech identification tasks in different noise backgrounds. We measured alpha power to index online cortical arousal states during task engagement. Subsequently, we split brainstem speech-FFRs, on a trial-by-trial basis, according to fluctuations in concomitant cortical alpha power into low or high alpha FFRs to index cortical-brainstem modulation. We found cortical alpha power was smaller in the HL than NH group. In NH listeners, alpha-FFRs modulation for clear speech (i.e., without noise) also resembled that previously observed in younger adults for speech in noise. Cortical-brainstem modulation was further diminished in HL older adults in the clear condition and by noise in NH older adults. Machine learning classification showed low alpha FFR frequency spectra yielded higher accuracy for classifying listeners' perceptual performance in both NH and HL participants. Moreover, low alpha FFRs decreased with increased hearing thresholds at 0.5-2 kHz for clear speech but noise generally reduced low alpha FFRs in the HL group. Collectively, our study reveals cortical arousal state actively shapes brainstem speech representations and provides a potential new mechanism for older listeners' difficulties perceiving speech in cocktail party-like listening situations in the form of a miss-coordination between cortical and subcortical levels of auditory processing.Copyright The copyright holder for this preprint is the author/funder, who has granted bioRxiv a license to display the preprint in perpetuity. It is made available under a CC-BY-ND 4.0 International license.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=empp&DO=10.1101%2f2022.06.03.494743,SFX,
8,Ovid Technologies,Embase,2015548790,The Hair Cell Analysis Toolbox: A machine learning-based whole cochlea analysis pipeline.,"bioRxiv. (no pagination), 2021. Date of Publication: 14 Oct 2021.","Buswinka C.J.

Osgood R.T.

Simikyan R.G.

Rosenberg D.B.

Indzhykulian A.A.","Buswinka, Christopher J.; ORCID: https://orcid.org/0000-0002-3618-5356

Indzhykulian, Artur A.; ORCID: https://orcid.org/0000-0002-2076-6818","(Buswinka, Osgood, Simikyan, Rosenberg, Indzhykulian) Mass Eye and Ear, Harvard Medical School, United States",bioRxiv,"Our sense of hearing is mediated by sensory hair cells, precisely arranged and highly specialized cells subdivided into two subtypes: outer hair cells (OHCs) which amplify sound-induced mechanical vibration, and inner hair cells (IHCs) which convert vibrations into electrical signals for interpretation by the brain. One row of IHCs and three rows of OHCs are arranged tonotopically; cells at a particular location respond best to a specific frequency which decreases from base to apex of the cochlea. Loss of hair cells at a specific place affects hearing performance at the corresponding tonotopic frequency. To better understand the underlying cause of hearing loss in patients (or experimental animals) a plot of hair cell survival along the cochlear frequency map, known as a cochleogram, can be generated post-mortem, involving manually counting thousands of cells. Currently, there are no widely applicable tools for fast, unsupervised, unbiased, and comprehensive image analysis of auditory hair cells that work well either with imaging datasets containing an entire cochlea or smaller sampled regions. Current microscopy tools allow for imaging of auditory hair cells along the full length of the cochlea, often yielding more data than feasible to manually analyze. Here, we present a machine learning-based hair cell analysis toolbox for the comprehensive analysis of whole cochleae (or smaller regions of interest). The Hair Cell Analysis Toolbox (HCAT) is a software that automates common image analysis tasks such as counting hair cells, classifying them by subtype (IHCs vs OHCs), determining their best frequency based on their location along the cochlea, and generating cochleograms. These automated tools remove a considerable barrier in cochlear image analysis, allowing for faster, unbiased, and more comprehensive data analysis practices. Furthermore, HCAT can serve as a template for deep-learning-based detection tasks in other types of biological tissue: with some training data, HCAT's core codebase can be trained to develop a custom deep learning detection model for any object on an image.Copyright The copyright holder for this preprint is the author/funder, who has granted bioRxiv a license to display the preprint in perpetuity. It is made available under a CC-BY-NC-ND 4.0 International license.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=empp&DO=10.1101%2f2021.10.12.464098,SFX,
9,Ovid Technologies,Embase,2020672314,Brain plasticity and auditory spatial adaptation in patients with unilateral hearing loss.,"bioRxiv. (no pagination), 2022. Date of Publication: 16 Aug 2022.","Alzaher M.

Strelnikov K.

Marx M.

Barone P.",,"(Alzaher, Strelnikov, Marx, Barone) Centre de Recherche Cerveau et Cognition, CNRS, Toulouse, France

(Alzaher, Strelnikov, Marx) Service ORL, CHU Toulouse, Toulouse, France

(Alzaher, Strelnikov, Barone) Research Center of Brain and Cognition (CerCo/CNRS), Toulouse, France

(Alzaher, Strelnikov, Marx) University Hospital of Toulouse (CHU - Purpan), Toulouse, France",bioRxiv,"Unilateral hearing loss (UHL) alters binaural cues affecting speech comprehension and sound localisation. While many patients with UHL perform poorly on binaural tasks, some are able to adapt to monaural deficit. We aimed to identify patients with UHL who use compensatory strategies and to explore the neural correlates of this adaptation using Mismatch Negativity (MMN). We recruited 21 patients with UHL and we separated them into three groups using cluster analysis based on measures of binaural processing. The resulting groups were referred to as the better, moderate and poorer performers clusters (BPC, MPC and PPC). We measured the MMN elicited by deviant sounds located 10degree, 20degree or 100degree away from a standard sound. We found that the BPC group had a significant MMN for all three deviant sounds, as in a group of normal-hearing controls. In contrast, the PPC group and normal-hearing controls with an earplug did not have a significant MMN for the 10degree and 20degree deviations. For the 100degree deviation, the scalp distribution was found to be maximal over central regions in the BPC group, while the PPC group showed a more frontal distribution. Differences were also found for the N100 evoked by standard sounds, with the BPC group showing a contralateral pattern of activation, as in the controls, and the PPC group showing more symmetrical hemispheric activation. These results indicate that patients with UHL can develop adaptive strategies that are reflected by sound processing differences at the cortical level.Copyright The copyright holder for this preprint is the author/funder, who has granted bioRxiv a license to display the preprint in perpetuity. All rights reserved. No reuse allowed without permission.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=empp&DO=10.1101%2f2022.08.15.503609,SFX,
10,Ovid Technologies,Embase,2018760830,Multi-tasking Deep Network for Tinnitus Classification and Severity Prediction from Multimodal Structural Images.,"bioRxiv. (no pagination), 2022. Date of Publication: 08 May 2022.","Lin C.-T.

Ghosh S.

Hinkley L.B.

Dale C.L.

Souza A.

Sabes J.H.

Hess C.P.

Adams M.E.

Cheung S.W.

Nagarajan S.S.","Ghosh, Sanjay; ORCID: https://orcid.org/0000-0002-0474-5072

Nagarajan, Srikantan S.; ORCID: https://orcid.org/0000-0001-7209-3857","(Lin, Ghosh, Hinkley, Dale, Souza, Hess, Nagarajan) Department of Radiology and Biomedical Imaging, University of California, San Francisco, CA 94143, United States

(Sabes, Cheung, Nagarajan) Department of Otolaryngology - Head and Neck Surgery, University of California, San Francisco, CA 94115, United States

(Adams) Department of Otolaryngology - Head and Neck Surgery, University of Minnesota, Minneapolis, MN 55455, United States

(Cheung) Surgical Services, Veterans Affairs, San Francisco, CA 94121, United States",bioRxiv,"Subjective tinnitus is an auditory phantom perceptual disorder without an objective biomarker. Fast and efficient diagnostic tools will advance clinical practice by detecting or confirming the condition, tracking change in severity, and monitoring treatment response. Motivated by evidence of subtle anatomical or functional morphological information in magnetic resonance images (MRI) of the brain, we examined data-driven machine learning methods for joint tinnitus classification (tinnitus or no tinnitus) and tinnitus severity prediction. We propose a deep multi-task multimodal framework for joint functionalities using structural MRI (sMRI) data. To leverage cross-information multimodal neuroimaging data, we integrated two modalities of 3-dimensional sMRI - T1 weighted (T1w) and T2 weighted (T2w) images. To explore the key components in the MR images that drove task performance, we segmented both T1w and T2w images into three different components - cerebrospinal fluid (CSF), grey matter (GM) and white matter (WM), and examined performance of each segmented image. Results demonstrate that our multimodal framework capitalizes on the information across both modalities (T1w and T2w) for the joint task of tinnitus classification and severity prediction. Our model outperforms existing learning-based and conventional methods in terms of accuracy, sensitivity, specificity, and negative predictive value.Copyright The copyright holder for this preprint is the author/funder, who has granted bioRxiv a license to display the preprint in perpetuity. It is made available under a CC-BY-NC-ND 4.0 International license.",https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=empp&DO=10.1101%2f2022.05.07.491000,SFX,
