author,title,abstract,date,search_term
AaronANoronha-Pr,AudiometricAI,"# AudiometricAI: Transforming Hearing Test Diagnosis Through ML

## 1. Introduction

The **AudiometricAI** project utilizes machine learning to revolutionize hearing test diagnosis. By predicting outcomes based on patient characteristics, it offers a cost-effective and time-saving alternative to traditional methods.

- **1.1 Project Overview**

    AudiometricAI aims to assist medical professionals by predicting hearing test outcomes. The web application democratizes access to hearing test predictions, making it more accessible to a broader population.

- **1.2 Purpose**

    Using classification algorithms such as Logistic Regression, SVM, and neural networks, AudiometricAI predicts hearing test outcomes, saving time and costs for users.

## 2. Literature Survey

- **2.1 Existing Problem**

    Traditional hearing health diagnostics face challenges of accuracy, accessibility, and cost. AudiometricAI addresses these issues with a machine learning-based predictive model.

- **2.2 References**

    Inspired by research articles on machine learning in medical diagnosis, AudiometricAI draws insights from reputable sources.

- **2.3 Problem Statement Definition**

    AudiometricAI aims to redefine hearing health diagnostics by developing a machine learning-based solution for predicting outcomes.

## 3. Ideation & Proposed Solution

- **3.1 Empathy Map Canvas**

    Team collaboration and brainstorming led to the selection of a predictive model for hearing test outcomes.

- **3.2 Ideation & Brainstorming**

    The team prioritized creative solutions for hearing test diagnosis through machine learning.

## 4. Requirement Analysis

- **4.1 Functional Requirements**

    Key requirements include data ingestion, machine learning model integration, training module, web application interface, and Flask integration.

- **4.2 Non-Functional Requirements**

    Ensuring scalability, performance, security, usability, and reliability are crucial non-functional requirements.

## 5. Project Design

- **5.1 Data Flow Diagrams & User Stories**

    Data Flow Diagrams illustrate system information flow, while user stories define functionalities for different user types.

- **5.2 Solution Architecture**

    The solution architecture encompasses a web application, backend for data processing, machine learning, and a database.

## 6. Project Planning & Scheduling

- **6.1 Technical Architecture**

    The technical architecture outlines the project's structure and characteristics.

- **6.2 Sprint Planning & Estimation**

    Sprint planning includes user stories, story points, and prioritization for efficient development.

- **6.3 Sprint Delivery Schedule**

    Scheduled sprints with story points and durations were planned for effective project management.

## 7. Coding & Solutioning

- **7.1 Feature 1**

    Real-time visualization enhances user engagement by dynamically displaying predicted outcomes.

- **7.2 Feature 2**

    An adaptive user feedback system prompts users to provide feedback based on predicted outcomes.

## 8. Performance Testing

- **8.1 Performance Metrics**

    Performance metrics include testing various machine learning models.

## 9. Results

- **9.1 Output Screenshots**

    Screenshots showcasing the application's output.
  ![image](https://github.com/smartinternz02/SI-GuidedProject-600495-1697527933/assets/122151410/3d970b00-6c1c-4663-9e72-c0518e59a682)
  ![image](https://github.com/smartinternz02/SI-GuidedProject-600495-1697527933/assets/122151410/cde6b57e-37d1-4b88-add1-6f8c16789a60)



## 10. Advantages & Disadvantages

- **Advantages**

    - Cost-efficiency
    - Time-saving
    - Accessibility
    - Data-driven insights
    - User engagement

- **Disadvantages**

    - Model limitations
    - Dependency on user input
    - Lack of personalized medical advice
    - Potential bias
    - Security concerns

## 11. Conclusion

AudiometricAI redefines hearing health diagnostics, offering advantages in cost, time, and user engagement. Acknowledging limitations, it emphasizes the supplementary nature of predictions compared to professional advice.

## 12. Future Scope

1. Integration of additional features
2. Collaboration with healthcare providers
3. Continuous model improvement
4. Expansion to mobile platforms
5. Research and publications

## 13. Appendix

GitHub: [AudiometricAI Repository](https://github.com/smartinternz02/SI-GuidedProject-600495-1697527933)

Project Demo: [AudiometricAI Demo](https://drive.google.com/file/d/1fCpXo8Bq0jbwcJXjQ7aW79UcviT0G0U6/view?usp=sharing)",2023,audiometric
georgehart,Audiometer Calibration Checker,"Promotor : Georges Hart - SONAVA Lucia De Borouckere - site Jules Ferry ( Alice Ninane & Maoudh Sheikairi))

Scope:

Devlopement of a documented prototype / device who measure the output level (dBSPL) of a transduser type DD65 The measured level /intensity will be compared to a previous fixed reference value. The prototype will communicate with the user by an graphical user interface",2018,audiometric
h-peysepar,React + Vite,"This template provides a minimal setup to get React working in Vite with HMR and some ESLint rules.

Currently, two official plugins are available:

@vitejs/plugin-react uses Babel for Fast Refresh
@vitejs/plugin-react-swc uses SWC for Fast Refresh",2023,audiometric
avmuzy,Tympanum,None,2022,audiometric
Giorgos Logiotatidis,audiometric-services,None,2014,audiometric
MucaInera,audiometric-calculator,"# audiometric-calculator
### Usage
```
const calculator = require('audiometric-calculator')

try {
  const message = calculator({
    {
      age: 36,
      height: 1.78,
      weigth: 93,
      sex: 'm',
      type: 'pistelli2007', // ceca || ers || paoletti || pistelli2000 || pistelli2007
      vc: 1,
      fvc: 2.1,
      fev1: 2.1,
      date: '31/05/2019'
    }
  })
} catch (e) {}
```",2019,audiometric
Alexander Swartz,Audiometric-Testing-Interface,None,2023,audiometric
Sergio Velasquez,test-audiometrics,None,2018,audiometric
DeepeshKumar-2021,AudioMetrics,"# AudioMetrics

download freeswitch source from the latest git repository:
https://github.com/signalwire/freeswitch.git

Download code from AudioMetrics repository and merge the changes to freeswitch
do following configuration changes to freeswitch:

make below changes in conf/sip_profiles/internal.xml
<param name=""enable-timer"" value=""false""/>

make following changes to conf/dialplan/default.xml
<action application=""set"" data=""jitterbuffer_msec=60:200:20""/>
<action application=""set"" data=""rtp_jitter_buffer_during_bridge=true""/>

you can refer files in AudioMetrics repository.

build freeswitch with below commands:
run below command in freeswitch source directory:
make && make install

restart freeswitch:
systemctl restart freeswitch.service

You can register extension using any open-source SIP client (Like Zoiper, X-lite etc) with
following details:
Username: <Extension>
Password: 12345
Domain: <instance IP address>
Available extensions are 1001, 1002, 1003 .
You may register any two extensions and call another extension.

once cal is done open freeswitch log file from location: /usr/local/freeswitch/freeswitch.log or find the exact location of logfile
search for below logs:
AUDIO QUALITY METRICS ==>

",2021,audiometric
Bunny Lushington,audiogram-erlang,"# Audiogram

A plotting device for audiogram data.  Receives JSON data and produces
SVG.  (There's [example output](example.svg) but GitHub seems to have
issues actually displaying the graph.  Best to save the text and open
it in a browser.)


## Use

``` erlang
SVG = audiogram:audiogram(AudiometricsData).
```

## Format

``` json
{
  ""audiograms"": [
    {
      ""ear"": ""left"",
      ""conduction"": ""air"",
      ""data"": [
        {
          ""f"": 0.25,
          ""m"": false,
          ""db"": 70
        },
        {
          ""f"": 0.5,
          ""m"": false,
          ""db"": 70
        },
        {
          ""f"": 1,
          ""m"": false,
          ""db"": 90
        },
        {
          ""f"": 2,
          ""m"": false,
          ""db"": 80
        },
        {
          ""f"": 4,
          ""m"": false,
          ""db"": 80
        }
      ]
    }
  ]
}

```

Ear may be `left` or `right`.

Conduction may be `air` or `bone`.

Frequency (""f"", in Hz) may be any of: .125, .25, .5, .75, 1, 1.5, 2,
3, 4, 6, 8, 12, 16.

Level (""db"", in dB) may be in the range of -10 -- 140.

Masked (""m"") may be `true` or `false`.  False is the default.




## Author

Bunny Lushington;
September 2019",2019,audiometric
