"Document Title",Authors,"Author Affiliations","Publication Title",Date Added To Xplore,"Publication Year","Volume","Issue","Start Page","End Page","Abstract","ISSN",ISBNs,"DOI",Funding Information,PDF Link,"Author Keywords","IEEE Terms","Mesh_Terms",Article Citation Count,Patent Citation Count,"Reference Count","License",Online Date,Issue Date,"Meeting Date","Publisher",Document Identifier
"Intelligent Hearing System using Assistive Technology for Hearing-Impaired Patients","W. Shehieb; M. O. Nasri; N. Mohammed; O. Debsi; K. Arshad","Department of Electrical Engineering, Ajman University, Ajman, United Arab Emirates; Department of Electrical Engineering, Ajman University, Ajman, United Arab Emirates; Department of Electrical Engineering, Ajman University, Ajman, United Arab Emirates; Department of Electrical Engineering, Ajman University, Ajman, United Arab Emirates; Department of Electrical Engineering, Ajman University, Ajman, United Arab Emirates","2018 IEEE 9th Annual Information Technology, Electronics and Mobile Communication Conference (IEMCON)","17 Jan 2019","2018","","","725","729","Hearing is an important sense of coexistence, but majority of people taken it for granted unless it is weakened or lost. In this paper, an Assistive Intelligent Hearing Aid System (AIHAS) is proposed that supports hearing impaired patients and allow them to live a normal life. The patients will be required to wear smart glasses equipped with bone conduction technology and wirelessly connected with an application running on patient's smartphone. The AIHAS is designed to: (1) detect multiple ear damages, (2) evaluates the degree of patient's hearing loss, (3) having smart filters with two different modes based on surrounding environment, and (4) assist children with articulation development. The patients will be able to choose between two types of filters i.e. Quiet Room (QR) and Noisy Room (NR) filter depending on the surrounding environment. Additionally, an Auditory Assistive mode is also added to AIHAS to train and assist children with speech disorders caused by hearing impairment at a younger age. The AIHAS also allows interfacing with a smartwatch for easier system access. The system prototype has been developed and tested with multiple patients. The proposed AIHAS is an intelligent, low cost, reliable and a portable solution.","","978-1-5386-7266-2","10.1109/IEMCON.2018.8615021","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=8615021","Artificial intelligence;Assistive technology;Computer vision;Ear damage detection;Otitis Media;Perforated Eardrum;Hearing impairment;Online Database","Auditory system;Ear;Pediatrics;Databases;Hearing aids;Glass;Noise measurement","","3","","15","IEEE","17 Jan 2019","","","IEEE","IEEE Conferences"
"Artificial Neural Network-Assisted Classification of Hearing Prognosis of Sudden Sensorineural Hearing Loss With Vertigo","S. -C. Lin; M. -Y. Lin; B. -H. Kang; Y. -S. Lin; Y. -H. Liu; C. -Y. Yin; P. -S. Lin; C. -W. Lin","Department of Biomedical Engineering, College of Engineering, National Cheng Kung University, Tainan, Taiwan; Department of Otorhinolaryngology—Head and Neck Surgery, Kaohsiung Veterans General Hospital, Kaohsiung, Taiwan; Department of Otorhinolaryngology—Head and Neck Surgery, Kaohsiung Veterans General Hospital, Kaohsiung, Taiwan; Department of Otorhinolaryngology—Head and Neck Surgery, Kaohsiung Veterans General Hospital, Kaohsiung, Taiwan; Department of Otorhinolaryngology—Head and Neck Surgery, Kaohsiung Veterans General Hospital, Kaohsiung, Taiwan; Department of Otorhinolaryngology—Head and Neck Surgery, Kaohsiung Veterans General Hospital, Kaohsiung, Taiwan; Department of Otorhinolaryngology—Head and Neck Surgery, Kaohsiung Veterans General Hospital, Kaohsiung, Taiwan; Department of Biomedical Engineering, College of Engineering, National Cheng Kung University, Tainan, Taiwan","IEEE Journal of Translational Engineering in Health and Medicine","15 Feb 2023","2023","11","","170","181","This study aimed to determine the impact on hearing prognosis of the coherent frequency with high magnitude-squared wavelet coherence (MSWC) in video head impulse test (vHIT) among patients with sudden sensorineural hearing loss with vertigo (SSNHLV) undergoing high-dose steroid treatment. This study was a retrospective cohort study. SSNHLV patients treated at our referral center from December 2016 to December 2020 were examined. The cohort comprised 64 patients with SSNHLV undergoing high-dose steroid treatment. MSWC was measured by calculating the wavelet coherence analysis (WCA) at various frequencies from a vHIT. The hearing prognosis were analyzed using a multivariable Cox regression model and convolution neural network (CNN) of WCA. There were 64 patients with a male-to-female ratio of 1:1.67. The greater highest coherent frequency of the posterior semicircular canal (SCC) was associated with the complete recovery (CR) of hearing. After adjustment for other factors, the result remained robust (hazard ratio [HR] 2.11, 95% confidence interval [CI] 1.86-2.35). In the feature extraction with Resnet-50 and proceeding SVM in the horizontal image cropping style, the classification accuracy [STD] for (CR vs. partial + no recovery [PR + NR]), (over-sampling of CR vs. PR + NR), (extensive data extraction of CR vs. PR + NR), and (interpolation of time series of CR vs. PR + NR) were 83.6% [7.4], 92.1% [6.8], 88.9% [7.5], and 91.6% [6.4], respectively. The high coherent frequency of the posterior SCC was a significantly independent factor that was associated with good hearing prognosis in the patients who have SSNHLV. WCA may be provided with comprehensive ability in vestibulo-ocular reflex (VOR) evaluation. CNN could be utilized to classify WCA, predict treatment outcomes, and facilitate vHIT interpretation. Feature extraction in CNN with proceeding SVM and horizontal cropping style of wavelet coherence plot performed better accuracy and offered more stable model for hearing outcomes in patients with SSNHLV than pure CNN classification. Clinical and Translational Impact Statement—High coherent frequency in vHIT results in good hearing outcomes in SSNHLV and facilitates AI classification.","2168-2372","","10.1109/JTEHM.2023.3242339","Kaohsiung Veterans General Hospital(grant numbers:VGHKS108-082); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10038487","Artificial intelligence;hearing prognosis;sudden sensorineural hearing loss;video head impulse test;wavelet coherence","Auditory system;Head;Coherence;Wavelet transforms;Time-frequency analysis;Time series analysis;Prognostics and health management","Humans;Male;Female;Retrospective Studies;Vertigo;Hearing;Hearing Loss, Sudden;Hearing Loss, Sensorineural;Prognosis;Steroids","1","","35","CCBY","6 Feb 2023","","","IEEE","IEEE Journals"
"On the Use of Machine Learning for Classifying Auditory Brainstem Responses: A Scoping Review","R. A. Osman; H. A. Osman","Faculty of Health Sciences, School of Rehabilitation Sciences, University of Ottawa, Ottawa, ON, Canada; Faculty of Engineering, School of Electrical Engineering and Computer Science, University of Ottawa, Ottawa, ON, Canada","IEEE Access","12 Aug 2021","2021","9","","110592","110600","Recent advances in machine learning have led to a surge of interest in classification of the auditory brainstem response. In this work, we conducted a search in the PubMed, Google Scholar, SpringerLink, ScienceDirect, and Scopus databases, and identified twelve studies that explored the use of machine learning to classify the auditory brainstem response as a complementary and objective method to (a) help clinicians better diagnose hearing impairment by discerning between healthy and pathological auditory brainstem response waveforms, (b) present a neural marker for potential applications in hearing aid tuning, and (c) provide a biometric marker for discriminating between subjects. A comparison between the studies presented in this review is not possible as they used different test subjects, group sizes, and stimuli, and evaluated auditory brainstem response differently. Instead, the result of these studies will be presented and their limitations as well as their potential applications will be discussed. Overall, the findings of these studies suggest that ABR classification using machine learning is a promising tool for assessing patients with hearing loss, optimizing technologies for tuning hearing aids, and discriminating between subjects.","2169-3536","","10.1109/ACCESS.2021.3102096","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9504576","Auditory brainstem response;classification;decoding;feature extraction;machine learning","Brainstem;Auditory system;Machine learning;Support vector machines;Hearing aids;Transient analysis;Hidden Markov models","","3","","44","CCBY","3 Aug 2021","","","IEEE","IEEE Journals"
"Light-Emitting Device for Supporting Auditory Awareness of Hearing-Impaired People during Group Conversations","Y. Kaneko; I. Chung; K. Suzuki","Artificial Intelligence Laboratory, University of Tsukuba, Tsukuba, Japan; Artificial Intelligence Laboratory, University of Tsukuba, Tsukuba, Japan; Artificial Intelligence Laboratory, University of Tsukuba, Tsukuba, Japan","2013 IEEE International Conference on Systems, Man, and Cybernetics","27 Jan 2014","2013","","","3567","3572","This study proposes a novel wearable device that augments the auditory awareness of hearing impaired people to help them identify the speaker during group conversations. A number of hearing impaired people are able to understand speech by using auditory-oral methods such as lip-reading, however they always need to watch the speaker closely. The proposed device estimates the direction of the sound source and indicates the estimated direction in real time with light-emitting diodes (LEDs), thus aiding hearing impaired people during group conversations. The device has 4 unidirectional microphones and estimates the sound source direction by comparing the signal amplitudes in each microphone. Hearing assistance devices are required to be small and wearable in order to assist anytime in daily life. The proposed device is small, wearable, and can easily be used in various situations.","1062-922X","978-1-4799-0652-9","10.1109/SMC.2013.608","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6722361","Hearing impairments;Assistive devices;Wearable devices;Auditory awareness support","Auditory system;Microphones;Light emitting diodes;Estimation;Speech;Visualization;Performance evaluation","","7","","10","IEEE","27 Jan 2014","","","IEEE","IEEE Conferences"
"Generation Method of Hierarchical Pronunciation Font for Hearing-impaired Children Based on Artificial Intelligence","Z. Xu; W. Zou; D. Lin","JKFZ Cambridge International School, Nanchang, Jiangxi, PRC; School of Information Engineering, Nanchang University, Nanchang, PRC; School of Software, Nanchang University, Nanchang, PRC","2020 IEEE International Conference on Advances in Electrical Engineering and Computer Applications( AEECA)","6 Oct 2020","2020","","","591","595","Setting up personalized hierarchical pronunciation font for hearing-impaired children is one of the most important segments when designing individualized rehabilitation teaching. Creating an individual Chinese pronunciation training word stock is a big challenge in speech rehabilitation training for children with hearing impairment. This research applies the speech recognition technology and Chinese syllable classification theory, and proposes a convenient method of automatic generation of personalized hierarchical word base. The method includes first analyzing the initials and vowel of children's test pronunciation by calling the API of artificial intelligence speech recognition. Subsequently, on the basis of the established multi-dimensional information table of pronunciation classification of Mandarin initials and vowel, the multi-level pronunciation ability of the initials and vowel tested by children is rated. As a result, the datasets of initials and vowel of different levels are obtained. and according to the combination of initials and vowel of different levels, it is convenient to generate a personalized graded Chinese character library. Finaly, The effectiveness of this method is proved by a typical example.","","978-1-7281-6521-9","10.1109/AEECA49918.2020.9213534","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9213534","artificial intelligence;hearing-impaired Children;multi-level pronunciation","Training;Tongue;Speech recognition;Periodic structures;Mouth;Auditory system;Shape","","","","11","IEEE","6 Oct 2020","","","IEEE","IEEE Conferences"
"The text analysis software for hearing-impaired persons","V. Andrunyk; T. Shestakevych; D. Koshtura","Information System and Networks Department, Lviv polytechnic National University, Lviv, Ukraine; Information System and Networks Department, Lviv polytechnic National University, Lviv, Ukraine; Information System and Networks Department, Lviv polytechnic National University, Lviv, Ukraine","2021 IEEE 16th International Conference on Computer Sciences and Information Technologies (CSIT)","27 Dec 2021","2021","1","","119","123","Using information technologies for hearing-impaired persons allows society to include citizens that were to some extent isolated because of communication difficulties. Although different applications exist to help such persons, it is always actual to have a nationally-oriented product. Being properly modeled with consideration of needs a person with hearing impairments, such application with allow improving living standards not only for such persons, but also their families and close ones.","2766-3639","978-1-6654-4257-2","10.1109/CSIT52700.2021.9648605","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9648605","hearing impairment;special needs;IT-support;text analysis","Text analysis;Social networking (online);Conferences;Auditory system;Software;Internet;Electronic mail","","2","","28","IEEE","27 Dec 2021","","","IEEE","IEEE Conferences"
"Methods for evaluating and improving audiometric examinations - ORL system Fowler","V. Dolinay; L. Pivnickova; V. Vasek","Faculty of Applied Informatics, Tomas Bata University, Zlin, Zlin, Czech Republic; Faculty of Applied Informatics, Tomas Bata University, Zlin, Zlin, Czech Republic; Faculty of Applied Informatics, Tomas Bata University, Zlin, Zlin, Czech Republic","Proceedings of the 13th International Carpathian Control Conference (ICCC)","2 Jul 2012","2012","","","115","118","The purpose of this work is to design the system, which eliminates redundant and repetitive tasks in the certain types of hearing function examinations. Proposed system reduces time needed to examine patient and also provides the full digitization of the results. The obtained database can recently become the base for subsequent processing in artificial intelligence expert systems. Such systems can increase diagnostic potentials. In cooperation with physicians, the above mentioned system began to be developed. Beside the steps automatizing examination there will be also described expert system based on the obtained data. The system is focused on pointing the examination which can reveal otosclerosis diagnosis.","","978-1-4577-1868-7","10.1109/CarpathianCC.2012.6228626","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=6228626","Audiometry;examination;hearing lost;Fowler;ORL","Auditory system;Medical services;Bones;Databases;Medical diagnostic imaging;Computers;Hardware","","","","7","IEEE","2 Jul 2012","","","IEEE","IEEE Conferences"
"Hand Gesture Recognition using AI Algorithm for Hearing Impaired","B. J. Flavia; P. K. Priya; N. Chandravanshi; M. V. Amirtham","Dept. of CSE, SRMIST, Chennai, Tamil Nadu, India; Dept. of CSE, SRMIST, Chennai, Tamil Nadu, India; Dept. of CSE, SRMIST, Chennai, Tamil Nadu, India; Dept. of CSE, SRMIST, Chennai, Tamil Nadu, India","2022 4th International Conference on Inventive Research in Computing Applications (ICIRCA)","29 Dec 2022","2022","","","1069","1072","HRI can be challenging to facilitate communication between humans and robots. This is because robots cannot understand human language without a mediator, and this causes problems for HRI when it comes to hearing impaired patients, and elderly persons. In today's world HGR plays an important role and the HGR system is widely used in many applications throughout the world. HGR can help establish transmission between humans and machines by helping these groups of people. ML is part of AI that focuses on the evolution of a system that rely on data. The main issue of HGR is that the machine doesn't recognize the human language directly and human machine interaction is in need of media for conveying which can be recognized by machine and as well as humans, to help the hearing impaired persons and elderly persons, so HGR as transmitting media is required to give instructions to computer. This project is based on HGR as an input method using two clustering methods, Fuzzy C Means clustering and Decision K Means clustering. The Euclidean distance will be used to compare the different data elements in order to get an output at the end of the project. The output had higher accuracies compared to other algorithms.","","978-1-6654-9707-7","10.1109/ICIRCA54612.2022.9985748","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=9985748","Artificial intelligence;sign detection;feature extraction;classification;Euclidean distance;Fuzzy C;K means algorithm","Heuristic algorithms;Human-robot interaction;Clustering algorithms;Gesture recognition;Auditory system;Media;Assistive technologies","","","","11","IEEE","29 Dec 2022","","","IEEE","IEEE Conferences"
"""Now I Understand"": an application to bridge the gap in communication with hearing impaired people","K. Baz; J. P. Grille; C. Mayr; G. Gretter","Facultad de Ingenieria, Universidad de Montevideo, Montevideo, Uruguay; Facultad de Ingenieria, Universidad de Montevideo, Montevideo, Uruguay; Facultad de Ingenieria, Universidad de Montevideo, Montevideo, Uruguay; Facultad de Ingenieria, Universidad de Montevideo, Montevideo, Uruguay","2023 IEEE Global Humanitarian Technology Conference (GHTC)","20 Dec 2023","2023","","","278","281","""Now I Understand"" is a mobile application that enables bilateral communication between hearing and non-hearing people using artificial intelligence techniques. The application uses deep learning models to recognize sign language and translate it into text in real-time, while also translating text into sign language. The details of the application implementation are discussed, including data acquisition and preprocessing, selection and training of deep learning models, and the user interface. This application has the potential to revolutionize communication and accessibility for people with hearing impairments by providing a reliable and accurate tool for bilateral communication, as well as improving the general public's awareness and understanding of sign language.","2473-5728","979-8-3503-2132-6","10.1109/GHTC56179.2023.10354884","","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10354884","mobile application;non-hearing;bilateral communication;artificial intelligence;sign language","Deep learning;Training;Text recognition;Gesture recognition;Auditory system;Assistive technologies;User interfaces","","","","8","IEEE","20 Dec 2023","","","IEEE","IEEE Conferences"
"Toward Better Ear Disease Diagnosis: A Multi-Modal Multi-Fusion Model Using Endoscopic Images of the Tympanic Membrane and Pure-Tone Audiometry","T. Kim; S. Kim; J. Kim; Y. Lee; J. Choi","Department of Applied Artificial Intelligence, Major in Bio Artificial Intelligence, Hanyang University, Ansan, Republic of Korea; Department of Otorhinolaryngology-Head and Neck Surgery, Ansan Hospital, Korea University College of Medicine, Ansan, Republic of Korea; Core Research and Development Center, Korea University Ansan Hospital, Ansan, Republic of Korea; Department of Applied Artificial Intelligence, Major in Bio Artificial Intelligence, Hanyang University, Ansan, Republic of Korea; Department of Otorhinolaryngology-Head and Neck Surgery, Ansan Hospital, Korea University College of Medicine, Ansan, Republic of Korea","IEEE Access","26 Oct 2023","2023","11","","116721","116731","Chronic otitis media is characterized by recurrent infections, leading to serious complications, such as meningitis, facial palsy, and skull base osteomyelitis. Therefore, active treatment based on early diagnosis is essential. This study developed a multi-modal multi-fusion (MMMF) model that automatically diagnoses ear diseases by applying endoscopic images of the tympanic membrane (TM) and pure-tone audiometry (PTA) data to a deep learning model. The primary aim of the proposed MMMF model is adding “normal with hearing loss” as a category, and improving the diagnostic accuracy of the conventional four ear diseases: normal, TM perforation, retraction, and cholesteatoma. To this end, the MMMF model was trained on 1,480 endoscopic images of the TM and PTA data to distinguish five ear disease states: normal, TM perforation, retraction, cholesteatoma, and normal (hearing loss). It employs a feature fusion strategy of cross-attention, concatenation, and gated multi-modal units in a multi-modal architecture encompassing a convolutional neural network (CNN) and multi-layer perceptron. We expanded the classification capability to include an additional category, normal (hearing loss), thereby enhancing the diagnostic performance of extant ear disease classification. The MMMF model demonstrated superior performance when implemented with EfficientNet-B7, achieving 92.9% accuracy and 90.9% recall, thereby outpacing the existing feature fusion methods. In addition, five-fold cross-validation experiments were conducted, in which the model consistently demonstrated robust performance when endoscopic images of the TM and PTA data were applied to the deep learning model across all datasets. The proposed MMMF model is the first to include a category of normal ear disease state with hearing loss. The developed model demonstrated superior performance compared to existing CNN models and feature fusion methods. Consequently, this study substantiates the utility of simultaneously applying PTA data and endoscopic images of the TM for the automated diagnosis of ear diseases in clinical settings and validates the usefulness of the multi-fusion method.","2169-3536","","10.1109/ACCESS.2023.3325346","Institute of Information and Communications Technology Planning and Evaluation (IITP); Korean Government for the Ministry of Science and ICT (MSIT), South Korea, through the Artificial Intelligence Convergence Innovation Human Resources Development; Hanyang University (ERICA)(grant numbers:RS-2022-00155885); Artificial Intelligence Convergence Research Center, Hanyang University (ERICA)(grant numbers:2020-0-01343); National Research Foundation of Korea (NRF); Korean Government (MSIT)(grant numbers:NRF-2022R1F1A1074999); Korea University Grant and the Medical Data-Driven Hospital Support Project through the Korea Health Information Service (KHIS); Ministry of Health and Welfare, Republic of Korea; MSIT under the ICT Challenge and Advanced Network (ICAN) of HRD Program Supervised; IITP(grant numbers:IITP-2022-RS-2022-00156439); ","https://ieeexplore.ieee.org/stamp/stamp.jsp?arnumber=10286540","Artificial intelligence;biomedical imaging;classification algorithms;computer aided diagnosis;convolutional neural networks;deep learning;electronic medical records","Diseases;Auditory system;Data models;Artificial intelligence;Bones;Media;Biomedical imaging;Classification algorithms;Computer aided diagnosis;Convolutional neural networks;Deep learning;Electronic medical records;Ear","","","","42","CCBY","17 Oct 2023","","","IEEE","IEEE Journals"
