PMID,Title,Authors,Citation,First Author,Journal/Book,Publication Year,Create Date,PMCID,NIHMS ID,DOI
"28685503","Interventions to prevent occupational noise-induced hearing loss","Tikka C, Verbeek JH, Kateman E, Morata TC, Dreschler WA, Ferrite S.","Cochrane Database Syst Rev. 2017 Jul 7;7(7):CD006396. doi: 10.1002/14651858.CD006396.pub4.","Tikka C","Cochrane Database Syst Rev","2017","2017/07/08","PMC6353150","","10.1002/14651858.CD006396.pub4"
"30358656","Online Machine Learning Audiometry","Barbour DL, Howard RT, Song XD, Metzger N, Sukesan KA, DiLorenzo JC, Snyder BRD, Chen JY, Degen EA, Buchbinder JM, Heisey KL.","Ear Hear. 2019 Jul/Aug;40(4):918-926. doi: 10.1097/AUD.0000000000000669.","Barbour DL","Ear Hear","2019","2018/10/26","PMC6476703","NIHMS1506000","10.1097/AUD.0000000000000669"
"35283480","Preventing autosomal-dominant hearing loss in Bth mice with CRISPR/CasRx-based RNA editing","Zheng Z, Li G, Cui C, Wang F, Wang X, Xu Z, Guo H, Chen Y, Tang H, Wang D, Huang M, Chen ZY, Huang X, Li H, Li GL, Hu X, Shu Y.","Signal Transduct Target Ther. 2022 Mar 14;7(1):79. doi: 10.1038/s41392-022-00893-4.","Zheng Z","Signal Transduct Target Ther","2022","2022/03/14","PMC8918553","","10.1038/s41392-022-00893-4"
"34919056","Digital Approaches to Automated and Machine Learning Assessments of Hearing: Scoping Review","Wasmann JW, Pragt L, Eikelboom R, Swanepoel W.","J Med Internet Res. 2022 Feb 2;24(2):e32581. doi: 10.2196/32581.","Wasmann JW","J Med Internet Res","2022","2021/12/17","PMC8851345","","10.2196/32581"
"34915240","Cross-modal connectivity effects in age-related hearing loss","Ponticorvo S, Manara R, Cassandro E, Canna A, Scarpa A, Troisi D, Cassandro C, Cuoco S, Cappiello A, Pellecchia MT, Salle FD, Esposito F.","Neurobiol Aging. 2022 Mar;111:1-13. doi: 10.1016/j.neurobiolaging.2021.09.024. Epub 2021 Nov 14.","Ponticorvo S","Neurobiol Aging","2022","2021/12/16","","","10.1016/j.neurobiolaging.2021.09.024"
"37844444","Genetic analysis of potential biomarkers and therapeutic targets in age-related hearing loss","Cheng Y, Chen W, Xu J, Liu H, Chen T, Hu J.","Hear Res. 2023 Nov;439:108894. doi: 10.1016/j.heares.2023.108894. Epub 2023 Oct 5.","Cheng Y","Hear Res","2023","2023/10/16","","","10.1016/j.heares.2023.108894"
"37133814","Progress made in the efficacy and viability of deep-learning-based noise reduction","Healy EW, Johnson EM, Pandey A, Wang D.","J Acoust Soc Am. 2023 May 1;153(5):2751. doi: 10.1121/10.0019341.","Healy EW","J Acoust Soc Am","2023","2023/05/03","PMC10159658","","10.1121/10.0019341"
"33422987","Understanding and treating paediatric hearing impairment","Wrobel C, Zafeiriou MP, Moser T.","EBioMedicine. 2021 Jan;63:103171. doi: 10.1016/j.ebiom.2020.103171. Epub 2021 Jan 7.","Wrobel C","EBioMedicine","2021","2021/01/10","PMC7808910","","10.1016/j.ebiom.2020.103171"
"29848183","Application of Data Mining to ""Big Data"" Acquired in Audiology: Principles and Potential","Mellor JC, Stone MA, Keane J.","Trends Hear. 2018 Jan-Dec;22:2331216518776817. doi: 10.1177/2331216518776817.","Mellor JC","Trends Hear","2018","2018/06/01","PMC6022814","","10.1177/2331216518776817"
"33491101","Contributions and limitations of using machine learning to predict noise-induced hearing loss","Chen F, Cao Z, Grais EM, Zhao F.","Int Arch Occup Environ Health. 2021 Jul;94(5):1097-1111. doi: 10.1007/s00420-020-01648-w. Epub 2021 Jan 25.","Chen F","Int Arch Occup Environ Health","2021","2021/01/25","PMC8238747","","10.1007/s00420-020-01648-w"
