ORN,VN,DB,AN,TI,DP,YR,PH,AU,MA,SO,MO,OL,AB,CP,JN,VO,IP,PG,FTURL,XL,PE,OC,CA,PS,URL
1,Ovid Technologies,APA PsycInfo,2024-54571-035,Phenotypes and clinical subgroups in vestibular migraine: A cross-sectional study with cluster analysis. [References].,Mar 2024,2024,"First Posting: Oct 2023

Accepted: Oct 2023

First Submitted: Aug 2023.","Teggi, Roberto

Colombo, Bruno

Cugnata, Federica

Albera, Roberto

Libonati, Giacinto Asprella

Balzanelli, Cristiano

Casani, Augusto Pietro

Cangiano, Iacopo

Familiari, Marco

Lucisano, Sergio

Mandala, Marco

Neri, Giampiero

Pecci, Rudi

Bussi, Mario

Filippi, Massimo","Teggi, Roberto: teggi.roberto@hsr.it","Neurological Sciences. Vol.45,(3), 2024, pp. 1209-1216.",Mar,Italian Journal of Neurological Sciences,"Objective: The aim of this multicentric cross-sectional study was to collect phenotypes and clinical variability on a large sample of 244 patients enrolled in different university centers in Italy, trying to differentiate subtypes of VM. Background: VM is one of the most frequent episodic vertigo characterized by a great clinical variability for duration of attacks and accompanying symptoms. Diagnosis is based only on clinical history of episodic vertigo in 50% of cases associated with migrainous headache or photo/phonophobia. Methods: We enrolled in different university centers 244 patients affected by definite VM according to the criteria of the Barany Society between January 2022 and December 2022. An audiometric examination and a CNS MRI were performed before inclusion. Patients with low-frequency sensorineural hearing loss were not included, as well as patients with an MRI positive otherwise that for microischemic lesions. Patients were asked to characterize vestibular symptoms choosing among (multiple answers were allowed): internal vertigo, dizziness, visuo-vestibular symptoms/external vertigo; onset of vertigo and duration, neurovegetative, and cochlear accompanying symptoms (hearing loss, tinnitus, and fullness during attacks) were collected as well as migrainous headache and/or photo/phonophobia during vertigo; autoimmune disorders were also analyzed. A bedside examination was performed including study of spontaneous-positional nystagmus with infrared video goggles, post head shaking ny, skull vibration test, and video head impulse test. Results: We included 244 subjects, 181 were females (74.2%). The age of onset of the first vertigo was 36.6 +/- 14.5 while of the first headache was 23.2 +/- 10.1. A positive correlation has been found between the first headache and the first vertigo. The mean duration of vertigo attacks was 11 +/- 16 h. We carried on a cluster analysis to identify subgroups of patients with common clinical features. Four variables allowed to aggregate clusters: age of onset of vertigo, duration of vertigo attacks, presence of migrainous headache during vertigo, and presence of cochlear symptoms during vertigo. We identified 5 clusters: cluster 1/group 1 (23 subjects, 9.4%) characterized by longer duration of vertigo attacks; cluster 2/group 2 (52 subjects, 21.3%) characterized by absence of migrainous headache and cochlear symptoms during vertigo; cluster 3/group 3 (44 subjects, 18%) characterized by presence of cochlear symptoms during vertigo but not headache; cluster 4/group 4 (57 subjects, 23.4%) by the presence of both cochlear symptoms and migrainous headache during vertigo; cluster 5/group 5 (68 subjects, 27.9%) characterized by migrainous headache but no cochlear symptoms during vertigo. Conclusion: VM is with any evidence a heterogeneous disorder and clinical presentations exhibit a great variability. In VM, both symptoms orienting toward a peripheral mechanism (cochlear symptoms) and central ones (long lasting positional non-paroxysmal vertigo) may coexist. Our study is the first published trying to characterize subgroups of VM subjects, thus orienting toward different pathophysiological mechanisms. (PsycInfo Database Record (c) 2024 APA, all rights reserved)","HOLDER: Fondazione Societa Italiana di Neurologia
YEAR: 2023",Neurological Sciences,45,3,1209-1216,Click here for full text options,SFX,,,,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc22&DO=10.1007%2fs10072-023-07116-w
2,Ovid Technologies,APA PsycInfo,2024-14784-001,Investigation of hearing loss in elderly vertigo and dizziness patients in the past 10 years. [References].,"Sep 15, 2023",2023,"First Posting: Sep 2023

Accepted: Aug 2023

First Submitted: May 2023.","Wang, Qian

Chen, Aiting

Hong, Mengdi

Liu, Xingjian

Du, Yi

Wu, Ziming

Cheng, Wenbo

Ji, Fei","Ji, Fei: argfei301@163.com","Frontiers in Aging Neuroscience. Vol.15, 2023, ArtID 1225786.",Sep,,"Background: Vertigo and hearing loss are both prevalent in the elderly. This study retrospectively analyzed hearing test results from elderly patients experiencing vertigo and dizziness at ENT outpatient over a 10-year period, in order to study the patterns of hearing loss in this patient population. Methods: Nine thousand three hundred eighty four patients over 50 years old underwent retrospective collection and screening of outpatient diagnosis, pure tone audiometry, acoustic immittance measurement (tympanogram) and auditory brainstem response (ABR) test. The patient's audiograms are divided into 7 subtypes according to a set of fixed criteria. Meanwhile, K-Means clustering analysis method was used to classify the audiogram. Results: The Jerger classification of tympanogram in elderly patients with vertigo and dizziness showed the majority falling under type A. The leading audiogram shapes were flat (27.81% in right ear and 26.89% in left ear), high-frequency gently sloping (25.97% in right ear and 27.34% in left ear), and high-frequency steeply sloping (21.60% in right ear and 22.53% in left ear). Meniere's disease (MD; 30.87%), benign recurrent vertigo (BRV; 19.07%), and benign paroxysmal positional vertigo (BPPV; 15.66%) were the most common etiologies in elderly vestibular diseases. We observed statistically significant differences in hearing thresholds among these vestibular diseases (P < 0.001). K-Means clustering analysis suggested that the optimal number of clusters was three, with sample sizes for the three clusters being 2,747, 2,413, and 4,139, respectively. The ANOVA statistical results of each characteristic value showed P < 0.001. Conclusion: The elderly patients often have mild to moderate hearing loss as a concomitant symptom with vertigo. Female patients have better hearing thresholds than males. The dominant audiometric shapes in this patient population were flat, high-frequency gently sloping, and high-frequency steeply sloping according to a set of fixed criteria. This study highlights the need for tailored strategies in managing hearing loss in elderly patients with vertigo and dizziness. (PsycInfo Database Record (c) 2023 APA, all rights reserved)","STATEMENT: This is an open-access article distributed under the terms of the Creative Commons Attribution License (CC BY). The use, distribution or reproduction in other forums is permitted, provided the original author(s) and the copyright owner(s) are credited and that the original publication in this journal is cited, in accordance with accepted academic practice. No use, distribution or reproduction is permitted which does not comply with these terms.
HOLDER: Wang, Chen, Hong, Liu, Du, Wu, Cheng and Ji
YEAR: 2023",Frontiers in Aging Neuroscience,15,,,Click here for full text options,SFX,11,"Frontiers Research Foundation, Switzerland",,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc22&DO=10.3389%2ffnagi.2023.1225786
3,Ovid Technologies,APA PsycInfo,2023-86540-005,The future of hearing aid technology: Can technology turn us into superheroes? [References].,Jul 2023,2023,"First Posting: Apr 2023

Accepted: Mar 2023

First Submitted: Feb 2023.","Hohmann, Volker","Hohmann, Volker: volker.hohmann@uol.de","Zeitschrift fur Gerontologie und Geriatrie. Vol.56,(4), 2023, pp. 283-289.",Jul,Zeitschrift fur Gerontologie,"Background: Hearing aid technology has proven to be successful in the rehabilitation of hearing loss, but its performance is still limited in difficult everyday conditions characterized by noise and reverberation. Objective: Introduction to the current state of hearing aid technology and presentation of the current state of research and future developments. Methods: The current literature was analyzed and several specific new developments are presented. Results: Both objective and subjective data from empirical studies show the limitations of the current technology. Examples of current research show the potential of machine learning-based algorithms and multimodal signal processing for improving speech processing and perception, of using virtual reality for improving hearing device fitting and of mobile health technology for improving hearing health services. Conclusion: Hearing device technology will remain a key factor in the rehabilitation of hearing impairments. New technology, such as machine learning and multimodal signal processing, virtual reality and mobile health technology, will improve speech enhancement, individual fitting and communication training, thus providing better support for all hearing-impaired patients, including older patients with disabilities or declining cognitive skills. (PsycInfo Database Record (c) 2023 APA, all rights reserved)
Abstract (German)
Hintergrund: Die Horgeratetechnologie hat sich bei der Rehabilitation von Horverlusten als erfolgreich erwiesen, aber ihre Leistung ist unter schwierigen Alltagsbedingungen, die durch Larm und Nachhall gekennzeichnet sind, immer noch begrenzt. Zielsetzung: Einfuhrung in den aktuellen Stand der Horgeratetechnologie und Darstellung des aktuellen Forschungsstandes und der zukunftigen Entwicklung. Methoden: Die aktuelle Literatur wird analysiert und mehrere spezifische Neuentwicklungen werden vorgestellt. Ergebnisse: Sowohl objektive als auch subjektive Daten aus empirischen Studien zeigen die Grenzen der derzeitigen Technologie auf. Beispiele aus der aktuellen Forschung belegen das Potenzial von auf maschinellem Lernen basierenden Algorithmen und multimodaler Signalverarbeitung zur Verbesserung der Sprachverarbeitung und -wahrnehmung, der Nutzung von virtueller Realitat zur Verbesserung der Horgerateanpassung und von mobiler Gesundheitstechnologie zur Verbesserung der Horgesundheitsdienste. Schlussfolgerung: Die Horgeratetechnologie wird ein Schlusselfaktor bei der Rehabilitation von Horschaden bleiben. Neue Technologien wie maschinelles Lernen und multimodale Signalverarbeitung, virtuelle Realitat und mobile Gesundheitstechnologien werden die Sprachverbesserung, die individuelle Anpassung und das Kommunikationstraining verbessern. (PsycInfo Database Record (c) 2023 APA, all rights reserved)","HOLDER: The Author(s), under exclusive licence to Springer Medizin Verlag GmbH, ein Teil von Springer Nature
YEAR: 2023",Zeitschrift fur Gerontologie und Geriatrie,56,4,283-289,Click here for full text options,SFX,,,,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc22&DO=10.1007%2fs00391-023-02179-y
4,Ovid Technologies,APA PsycInfo,2023-25052-001,How much individualization is required to predict the individual effect of suprathreshold processing deficits? Assessing plomp's distortion component with psychoacoustic detection thresholds and FADE. [References].,Dec 2022,2022,"First Posting: Sep 2022

Accepted: Sep 2022

Revised: Aug 2022

First Submitted: Dec 2021.","Hulsmeier, David

Kollmeier, Birger","Kollmeier, Birger: birger.kollmeier@uol.de","Hearing Research. Vol.426, 2022, pp. 1-14.  ArtID 108609.",Dec,,"Plomp introduced an empirical separation of the increased speech recognition thresholds (SRT) in listeners with a sensorineural hearing loss into an Attenuation (A) component (which can be compensated by amplification) and a non-compensable Distortion (D) component. Previous own research backed up this notion by speech recognition models that derive their SRT prediction from the individual audiogram with or without a psychoacoustic measure of suprathreshold processing deficits. To determine the precision in separating the A and D component for the individual listener with various individual measures and individualized models, SRTs with 40 listeners with a variation in hearing impairment were obtained in quiet, stationary noise, and fluctuating noise (ICRA 5-250 and babble). Both the clinical audiogram and an adaptive, precise sweep audiogram were obtained as well as tone-in-noise detection thresholds at four frequencies to characterize the individual hearing impairment. For predicting the SRT, the FADE-model (which is based on machine learning) was used with either of the two audiogram procedures and optionally the individual tone-in-noise detection thresholds. The results indicate that the precisely measured swept tone audiogram allows for a more precise prediction of the individual SRT in comparison to the clinical audiogram (RMS error of 4.3 dB vs. 6.4 dB, respectively). While an estimation from the precise audiogram and FADE performed equally well in predicting the individual A and D component, the further refinement of including the tone-in-noise detection threshold with FADE led to a slight improvement of prediction accuracy (RMS error of 3.3 dB, 4.6 dB and 1.4 dB, for SRT, A and D component, respectively). Hence, applying FADE is advantageous for scientific purposes where a consistent modeling of different psychoacoustical effects in the same listener with a minimum amount of assumptions is desirable. For clinical purposes, however, a precisely measured audiogram and an estimation of the expected D component using a linear regression appears to be a satisfactory first step towards precision audiology. (PsycInfo Database Record (c) 2023 APA, all rights reserved)","HOLDER: Elsevier B.V.
YEAR: 2022",Hearing Research,426,,1-14,Click here for full text options,SFX,14,,,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc22&DO=10.1016%2fj.heares.2022.108609
5,Ovid Technologies,APA PsycInfo,2024-00930-001,A multidimensional characterization of the neurocognitive architecture underlying age-related temporal speech processing. [References].,Sep 2023,2023,"First Posting: Jul 2023

Accepted: Jul 2023

Revised: Jul 2023

First Submitted: Jul 2022.","Elmer, Stefan

Kurthen, Ira

Meyer, Martin

Giroud, Nathalie","Elmer, Stefan: s.elmer@psychologie.uzh.ch","NeuroImage. Vol.278, 2023, pp. 1-16.  ArtID 120285.",Sep,,"Healthy aging is often associated with speech comprehension difficulties in everyday life situations despite a pure-tone hearing threshold in the normative range. Drawing on this background, we used a multidimensional approach to assess the functional and structural neural correlates underlying age-related temporal speech processing while controlling for pure-tone hearing acuity. Accordingly, we combined structural magnetic resonance imaging and electroencephalography, and collected behavioral data while younger and older adults completed a phonetic categorization and discrimination task with consonant-vowel syllables varying along a voice-onset time continuum. The behavioral results confirmed age-related temporal speech processing singularities which were reflected in a shift of the boundary of the psychometric categorization function, with older adults perceiving more syllable characterized by a short voice-onset time as /ta/ compared to younger adults. Furthermore, despite the absence of any between-group differences in phonetic discrimination abilities, older adults demonstrated longer N100/P200 latencies as well as increased P200 amplitudes while processing the consonant-vowel syllables varying in voice-onset time. Finally, older adults also exhibited a divergent anatomical gray matter infrastructure in bilateral auditory-related and frontal brain regions, as manifested in reduced cortical thickness and surface area. Notably, in the younger adults but not in the older adult cohort, cortical surface area in these two gross anatomical clusters correlated with the categorization of consonant-vowel syllables characterized by a short voice-onset time, suggesting the existence of a critical gray matter threshold that is crucial for consistent mapping of phonetic categories varying along the temporal dimension. Taken together, our results highlight the multifaceted dimensions of age-related temporal speech processing characteristics, and pave the way toward a better understanding of the relationships between hearing, speech and the brain in older age. (PsycInfo Database Record (c) 2023 APA, all rights reserved)","STATEMENT: Published by Elsevier Inc. This is an open access article under the CC BY license (http://creativecommons.org/licenses/by/4.0/).
HOLDER: The Authors
YEAR: 2023",NeuroImage,278,,1-16,Click here for full text options,SFX,16,,,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc22&DO=10.1016%2fj.neuroimage.2023.120285
6,Ovid Technologies,APA PsycInfo,2023-84477-003,Digital approaches to automated and machine learning assessments of hearing: Scoping review. [References].,Feb 2022,2022,"First Posting: Feb 2022

Accepted: Dec 2021

Revised: Dec 2021

First Submitted: Aug 2021.","Wasmann, Jan-Willem

Pragt, Leontien

Eikelboom, Robert

Swanepoel, De Wet","Wasmann, Jan-Willem: Jan-Willem.Wasmann@radboudumc.nl","Journal of Medical Internet Research. Vol.24,(2), 2022, pp. 1-17.",Feb,,"Background: Hearing loss affects 1 in 5 people worldwide and is estimated to affect 1 in 4 by 2050. Treatment relies on the accurate diagnosis of hearing loss; however, this first step is out of reach for > 80% of those affected. Increasingly automated approaches are being developed for self-administered digital hearing assessments without the direct involvement of professionals. Objective: This study aims to provide an overview of digital approaches in automated and machine learning assessments of hearing using pure-tone audiometry and to focus on the aspects related to accuracy, reliability, and time efficiency. This review is an extension of a 2013 systematic review. Methods: A search across the electronic databases of PubMed, IEEE, and Web of Science was conducted to identify relevant reports from the peer-reviewed literature. Key information about each report's scope and details was collected to assess the commonalities among the approaches. Results: A total of 56 reports from 2012 to June 2021 were included. From this selection, 27 unique automated approaches were identified. Machine learning approaches require fewer trials than conventional threshold-seeking approaches, and personal digital devices make assessments more affordable and accessible. Validity can be enhanced using digital technologies for quality surveillance, including noise monitoring and detecting inconclusive results. Conclusions: In the past 10 years, an increasing number of automated approaches have reported similar accuracy, reliability, and time efficiency as manual hearing assessments. New developments, including machine learning approaches, offer features, versatility, and cost-effectiveness beyond manual audiometry. Used within identified limitations, automated assessments using digital devices can support task-shifting, self-care, telehealth, and clinical care pathways. (PsycInfo Database Record (c) 2023 APA, all rights reserved)","STATEMENT: This is an open-access article distributed under the terms of the Creative Commons Attribution License (https://creativecommons.org/licenses/by/4.0/), which permits unrestricted use, distribution, and reproduction in any medium, provided the original work, first published in the Journal of Medical Internet Research, is properly cited. The complete bibliographic information, a link to the original publication on https://www.jmir.org/, as well as this copyright and license information must be included.
HOLDER: Jan-Willem Wasmann, Leontien Pragt, Robert Eikelboom, De Wet Swanepoel",Journal of Medical Internet Research,24,2,1-17,Click here for full text options,SFX,,"Gunther Eysenbach, Canada",,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc22&DO=10.2196%2f32581
7,Ovid Technologies,APA PsycInfo,2023-79585-006,Evaluation of machine learning algorithms and explainability techniques to detect hearing loss from a speech-in-noise screening test. [References].,"Sep 21, 2022",2022,"Accepted: May 2022

Revised: Dec 2021

First Submitted: Sep 2021.","Lenatti, Marta

Moreno-Sanchez, Pedro A

Polo, Edoardo M

Mollura, Maximiliano

Barbieri, Riccardo

Paglialonga, Alessia","Lenatti, Marta: marta.lenatti@ieiit.cnr.it","American Journal of Audiology. Vol.31,(3, Suppl), 2022, pp. 961-979.",Sep,,"Purpose: The aim of this study was to analyze the performance of multivariate machine learning (ML) models applied to a speech-in-noise hearing screening test and investigate the contribution of the measured features toward hearing loss detection using explainability techniques. Method: Seven different ML techniques, including transparent (i.e., decision tree and logistic regression) and opaque (e.g., random forest) models, were trained and evaluated on a data set including 215 tested ears (99 with hearing loss of mild degree or higher and 116 with no hearing loss). Post hoc explainability techniques were applied to highlight the role of each feature in predicting hearing loss. Results: Random forest (accuracy = .85, sensitivity = .86, specificity = .85, precision = .84) performed, on average, better than decision tree (accuracy = .82, sensitivity = .84, specificity = .80, precision = .79). Support vector machine, logistic regression, and gradient boosting had similar performance as random forest. According to post hoc explainability analysis on models generated using random forest, the features with the highest relevance in predicting hearing loss were age, number and percentage of correct responses, and average reaction time, whereas the total test time had the lowest relevance. Conclusions: This study demonstrates that a multivariate approach can help detect hearing loss with satisfactory performance. Further research on a bigger sample and using more complex ML algorithms and explainability techniques is needed to fully investigate the role of input features (including additional features such as risk factors and individual responses to low-/high-frequency stimuli) in predicting hearing loss. (PsycInfo Database Record (c) 2023 APA, all rights reserved)","STATEMENT: This work is licensed under a Creative Commons Attribution-NonCommercial-NoDerivatives 4.0 International License.
HOLDER: The Authors
YEAR: 2022",American Journal of Audiology,31,"3, Suppl",961-979,Click here for full text options,SFX,,,,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc22&DO=10.1044%2f2022_AJA-21-00194
8,Ovid Technologies,APA PsycInfo,2023-49518-001,Different neuroanatomical correlates for temporal and spectral supra-threshold auditory tasks and speech in noise recognition in older adults with hearing impairment. [References].,Mar 2023,2023,"Accepted: Jan 2023

Revised: Aug 2022

First Submitted: Apr 2021.","Neuschwander, Pia

Schmitt, Raffael

Jagoda, Laura

Kurthen, Ira

Giroud, Nathalie

Meyer, Martin","Meyer, Martin: martin.meyer@uzh.ch","European Journal of Neuroscience. Vol.57,(6), 2023, pp. 981-1002.",Mar,,"Varying degrees of pure-tone hearing loss in older adults are differentially associated with cortical volume (CV) and thickness (CT) within and outside of the auditory pathway. This study addressed the question to what degree supra-threshold auditory performance (i.e., temporal compression and frequency selectivity) as well as speech in noise (SiN) recognition are associated with neurostructural correlates in a sample of 59 healthy older adults with mild to moderate pure-tone hearing loss. Using surface-based morphometry on T1-weighted MRI images, CT, CV, and surface area (CSA) of several regions-of-interest were obtained. The results showed distinct neurostructural patterns for the different tasks in terms of involved regions as well as morphometric parameters. While pure-tone averages (PTAs) positively correlated with CT in a right hemisphere superior temporal sulcus and gyrus cluster, supra-threshold auditory perception additionally extended significantly to CV and CT in left and right superior temporal clusters including Heschl's gyrus and sulcus, the planum polare and temporale. For SiN recognition, we found significant correlations with an auditory-related CT cluster and furthermore with language-related areas in the prefrontal cortex. Taken together, our results show that different auditory abilities are differently associated with cortical morphology in older adults with hearing impairment. Still, a common pattern is that greater PTAs and poorer supra-threshold auditory performance as well as poorer SiN recognition are all related to cortical thinning and volume loss but not to changes in CSA. These results support the hypothesis that mostly CT undergoes alterations in the context of auditory decline, while CSA remains stable. (PsycInfo Database Record (c) 2023 APA, all rights reserved)","STATEMENT: Published by Federation of European Neuroscience Societies and John Wiley & Sons Ltd. This is an open access article under the terms of the Creative Commons Attribution-NonCommercial-NoDerivs License, which permits use and distribution in any medium, provided the original work is properly cited, the use is non-commercial and no modifications or adaptations are made.
HOLDER: University of Zurich and The Authors-European Journal of Neuroscience
YEAR: 2023",European Journal of Neuroscience,57,6,981-1002,Click here for full text options,SFX,,"Blackwell Publishing, United Kingdom",,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc22&DO=10.1111%2fejn.15922
9,Ovid Technologies,APA PsycInfo,2023-29001-001,Special needs classroom assessment using a sign language communicator (CASC) based on artificial intelligence (AI) techniques. [References].,2023,2023,,"Mouti, Samar

Rihawi, Samer",,"International Journal of e-Collaboration. Vol.19,(1), 2023, ArtID 60.",,,"This research focuses on deaf students in the United Arab Emirates. The proposed classroom assessment using sign language communicator (CASC) for special needs students (SN) in the United Arab Emirates is based on artificial intelligence (AI) tools. This research provides essential services for teaching evaluations, learning outcome assessments, and the development of learning environments. CASC model is composed of two models. The first model converts the speech to a sign language, which contains a speech recognizer, sign language recognizer. The second model converts the sign language to written text. This model generates a report for students' understanding and class evaluation in advance before ending the course based on the sign language recognition and image processing tools. This model will have a significantly positive impact on SN students' success and on effective lecturing and optimizing teaching and learning in the classroom. The accuracy of the model is 92%. The analysis of the student's feedback in real-time provides effective instructional strategies. (PsycInfo Database Record (c) 2023 APA, all rights reserved)","HOLDER: IGI Global
YEAR: 2023",International Journal of e-Collaboration,19,1,,Click here for full text options,SFX,15,,,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc22&AN=2023-29001-001
10,Ovid Technologies,APA PsycInfo,2023-10936-251,Learning-based reference-free speech quality assessment for normal hearing and hearing impaired applications.DP  - 2023,,2023,,"Salehi, Haniyeh",,"Dissertation Abstracts International: Section B: The Sciences and Engineering. Vol.84,(3-B), 2023, pp. No Pagination Specified.",,Dissertation Abstracts International,"Accurate speech quality measures are highly attractive and beneficial in the design, finetuning, and benchmarking of speech processing algorithms, devices, and communication systems. Switching from narrowband telecommunication to wideband telephony is a change within the telecommunication industry which provides users with better speech quality experience but introduces a number of challenges in speech processing. Noise is the most common distortion on audio signals and as a result there have been a lot of studies on developing high performance noise reduction algorithms. Assistive hearing devices are designed to decrease communication difficulties for people with loss of hearing. As the algorithms within these devices become more advanced, it becomes increasingly crucial to develop accurate and robust quality metrics to assess their performance. Objective speech quality measurements are more attractive compared to subjective assessments as they are cost-effective and subjective variability is eliminated. Although there has been extensive research on objective speech quality evaluation for narrowband speech, those methods are unsuitable for wideband telephony. In the case of hearing-impaired applications, objective quality assessment is challenging as it has to be capable of distinguishing between desired modifications which make signals audible and undesired artifacts. In this thesis a model is proposed that allows extracting two sets of features from the distorted signal only. This approach which is called reference-free (nonintrusive) assessment is attractive as it does not need access to the reference signal. Although this benefit makes nonintrusive assessments suitable for real-time applications, more features need to be extracted and smartly combined to provide comparable accuracy as intrusive metrics. Two feature vectors are proposed to extract information from distorted signals and their performance is examined in three studies. In the first study, both feature vectors are trained on various portions of a noise reduction database for normal hearing applications. In the second study, the same investigation is performed on two sets of databases acquired through several hearing aids. Third study examined the generalizability of the proposed metrics on benchmarking four wireless remote microphones in a variety of environmental conditions. Machine learning techniques are deployed for training the models in the three studies. The studies show that one of the feature sets is robust when trained on different portions of the data from different databases and it also provides good quality prediction accuracy for both normal hearing and hearing-impaired applications. (PsycInfo Database Record (c) 2023 APA, all rights reserved)",,Dissertation Abstracts International: Section B: The Sciences and Engineering,84,3-B,No Pagination Specified,Click here for full text options,SFX,,,,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc22&AN=2023-10936-251
