Authors,Author full names,Author(s) ID,Title,Year,Source title,Volume,Issue,Art. No.,Page start,Page end,Page count,Cited by,DOI,Link,Abstract,PubMed ID,Document Type,Publication Stage,Open Access,Source,EID
Abbott N.; Love T.,"Abbott, Noelle (57205190093); Love, Tracy (7006624283)",57205190093; 7006624283,Bridging the Divide: Brain and Behavior in Developmental Language Disorder,2023,Brain Sciences,13,11,1606,,,,0,10.3390/brainsci13111606,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85178270290&doi=10.3390%2fbrainsci13111606&partnerID=40&md5=da972ffb9392b909d831c38025fb918e,"Developmental language disorder (DLD) is a heterogenous neurodevelopmental disorder that affects a child’s ability to comprehend and/or produce spoken and/or written language, yet it cannot be attributed to hearing loss or overt neurological damage. It is widely believed that some combination of genetic, biological, and environmental factors influences brain and language development in this population, but it has been difficult to bridge theoretical accounts of DLD with neuroimaging findings, due to heterogeneity in language impairment profiles across individuals and inconsistent neuroimaging findings. Therefore, the purpose of this overview is two-fold: (1) to summarize the neuroimaging literature (while drawing on findings from other language-impaired populations, where appropriate); and (2) to briefly review the theoretical accounts of language impairment patterns in DLD, with the goal of bridging the disparate findings. As will be demonstrated with this overview, the current state of the field suggests that children with DLD have atypical brain volume, laterality, and activation/connectivity patterns in key language regions that likely contribute to language difficulties. However, the precise nature of these differences and the underlying neural mechanisms contributing to them remain an open area of investigation. © 2023 by the authors.",,Review,Final,All Open Access; Gold Open Access; Green Open Access,Scopus,2-s2.0-85178270290
Draffan E.A.; Wald M.; Ding C.; Li Y.,"Draffan, E.A. (6508346744); Wald, Mike (23398970900); Ding, Chaohai (56178265600); Li, Yunjia (58550865100)",6508346744; 23398970900; 56178265600; 58550865100,Exploring Practical Metrics to Support Automatic Speech Recognition Evaluations,2023,Studies in Health Technology and Informatics,306,,,305,310,5,0,10.3233/SHTI230636,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85168828952&doi=10.3233%2fSHTI230636&partnerID=40&md5=235a90196768d7fb9437cb7e4b4bea19,"Recent studies into the evaluation of automatic speech recognition for its quality of output in the form of text have shown that using word error rate to see how many mistakes exist in English does not necessarily help the developer of automatic transcriptions or captions. Confidence levels as to the type of errors being made remain low because mistranslations from speech to text are not always captured with a note that details the reason for the error. There have been situations in higher education where students requiring captions and transcriptions have found that some academic lecture results are littered with word errors which means that comprehension levels drop and those with cognitive, physical and sensory disabilities are particularly affected. Despite the incredible improvements in general understanding of conversational automatic speech recognition, academic situations tend to include numerous domain specific terms and the lecturers may be non-native speakers, coping with recording technology in noisy situations. This paper aims to discuss the way additional metrics are used to capture issues and feedback into the machine learning process to enable enhanced quality of output and more inclusive practices for those using virtual conferencing systems. The process goes beyond what is expressed and examines paralinguistic aspects such as timing, intonation, voice quality and speech understanding. © 2023 IOS Press. All rights reserved.",37638929,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85168828952
Paquette S.; Gouin S.; Lehmann A.,"Paquette, Sebastien (55666743700); Gouin, Samir (57338336400); Lehmann, Alexandre (55831591500)",55666743700; 57338336400; 55831591500,Improving emotion perception in cochlear implant users: insights from machine learning analysis of EEG signals,2024,BMC Neurology,24,1,115,,,,0,10.1186/s12883-024-03616-0,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189607412&doi=10.1186%2fs12883-024-03616-0&partnerID=40&md5=b120265b71fa269a5d5308ce4726b91e,"Background: Although cochlear implants can restore auditory inputs to deafferented auditory cortices, the quality of the sound signal transmitted to the brain is severely degraded, limiting functional outcomes in terms of speech perception and emotion perception. The latter deficit negatively impacts cochlear implant users’ social integration and quality of life; however, emotion perception is not currently part of rehabilitation. Developing rehabilitation programs incorporating emotional cognition requires a deeper understanding of cochlear implant users’ residual emotion perception abilities. Methods: To identify the neural underpinnings of these residual abilities, we investigated whether machine learning techniques could be used to identify emotion-specific patterns of neural activity in cochlear implant users. Using existing electroencephalography data from 22 cochlear implant users, we employed a random forest classifier to establish if we could model and subsequently predict from participants’ brain responses the auditory emotions (vocal and musical) presented to them. Results: Our findings suggest that consistent emotion-specific biomarkers exist in cochlear implant users, which could be used to develop effective rehabilitation programs incorporating emotion perception training. Conclusions: This study highlights the potential of machine learning techniques to improve outcomes for cochlear implant users, particularly in terms of emotion perception. © The Author(s) 2024.",38589815,Article,Final,All Open Access; Gold Open Access,Scopus,2-s2.0-85189607412
Siminski C.; Benson J.C.; Carlson M.L.; Lane J.I.,"Siminski, Clayton (58252595300); Benson, John C (55986670500); Carlson, Matthew L (17342039300); Lane, John I (7401532558)",58252595300; 55986670500; 17342039300; 7401532558,Prevalence of Scarpa’s ganglion enhancement on high-resolution MRI imaging,2024,Neuroradiology Journal,,,,,,,0,10.1177/19714009231224415,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85182439311&doi=10.1177%2f19714009231224415&partnerID=40&md5=5eda64d55590168b761e421e51c1afdf,"Background and Purpose: The vestibular ganglion, or Scarpa’s ganglion, is a cluster of afferent vestibular neurons within the internal auditory canal (IAC). There is minimal literature describing enhancement of this region on magnetic resonance imaging (MRI) and its correlation to clinical symptoms. Here, we sought to find the prevalence of enhancement at Scarpa’s ganglion, and determine whether such enhancement correlates with demographics or clinical symptoms. Materials and Methods: A retrospective review was performed of consecutive patients with an MRI of the IAC between 3/1/2021 and 5/20/2021. Two neuroradiologists independently reviewed for T1 and FLAIR enhancement of the Scarpa’s ganglion on post-contrast fat-saturated T1 and post-contrast FLAIR images. Discrepancies were agreed upon by consensus. Clinical variables (hearing loss, vestibular symptoms, tinnitus, and MRI indication) were gathered from a retrospective chart review. Results: Eighty-nine patients were included (51 female); the mean age was 58 (range 19–85). The most common MRI indication was hearing loss (n = 53). FLAIR enhancement was present on the right in 7 patients, on the left in 7 patients, and bilaterally in 6 patients. No enhancement was seen on post-contrast T1 images. There was no statistically significant correlation between consensus FLAIR on at least one side and age (p =.74), gender (p =.29), hearing loss (p =.32), hearing loss side (p =.39), type of hearing loss (p =.87), vestibular symptoms (p =.71), or tinnitus (p =.81). Conclusions: Enhancement is present in the minority of patients on post-contrast FLAIR images. If seen, it should be considered an uncommon but not unexpected finding with no clinical significance. © The Author(s) 2024.",,Article,Article in press,,Scopus,2-s2.0-85182439311
Cox T.J.; Barker J.; Bailey W.; Graetzer S.; Akeroyd M.A.; Culling J.F.; Naylor G.,"Cox, Trevor J. (7203000240); Barker, Jon (7401680706); Bailey, Will (58830878800); Graetzer, Simone (56166652200); Akeroyd, Michael A. (7003932221); Culling, John F. (7004194328); Naylor, Graham (12761085700)",7203000240; 7401680706; 58830878800; 56166652200; 7003932221; 7004194328; 12761085700,Overview of the 2023 ICASSP SP Clarity Challenge: Speech Enhancement for Hearing Aids,2023,"ICASSP, IEEE International Conference on Acoustics, Speech and Signal Processing - Proceedings",,,,,,,0,10.1109/ICASSP49357.2023.10433922,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185224716&doi=10.1109%2fICASSP49357.2023.10433922&partnerID=40&md5=6fcaccbb15ce6b54176964e8edc7131c,"This paper reports on the design and outcomes of the ICASSP SP Clarity Challenge: Speech Enhancement for Hearing Aids. The scenario was a listener attending to a target speaker in a noisy, domestic environment. There were multiple interferers and head rotation by the listener. The challenge extended the second Clarity Enhancement Challenge (CEC2) by fixing the amplification stage of the hearing aid; evaluating with a combined metric for speech intelligibility and quality; and providing two evaluation sets, one based on simulation and the other on real-room measurements. Five teams improved on the baseline system for the simulated evaluation set, but the performance on the measured evaluation set was much poorer. Investigations are on-going to determine the exact cause of the mismatch between the simulated and measured data sets. The presence of transducer noise in the measurements, lower order Ambisonics harming the ability for systems to exploit binaural cues and the differences between real and simulated room impulse responses are suggested causes. © 2023 IEEE.",,Conference paper,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85185224716
Chesnaye M.A.; Simpson D.M.; Schlittenlacher J.; Bell S.L.,"Chesnaye, M.A. (57201259215); Simpson, D.M. (55977688700); Schlittenlacher, J. (36635228400); Bell, S.L. (7401588148)",57201259215; 55977688700; 36635228400; 7401588148,Gaussian Processes for Hearing Threshold Estimation Using Auditory Brainstem Responses,2024,IEEE Transactions on Biomedical Engineering,71,3,,803,819,16,0,10.1109/TBME.2023.3318729,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85173057207&doi=10.1109%2fTBME.2023.3318729&partnerID=40&md5=7eddb5c76b4928088e7d63e54537ad9b,"The Auditory Brainstem Response (ABR) plays an important role in diagnosing and managing hearing loss, but can be challenging and time-consuming to measure. Test times are especially long when multiple ABR measurements are needed, e.g., when estimating hearing threshold at a range of frequencies. While many detection methods have been developed to reduce ABR test times, the majority were designed to detect the ABR at a single stimulus level and do not consider correlations in ABR waveforms across levels. These correlations hold valuable information, and can be exploited for more efficient hearing threshold estimation. This was achieved in the current work using a Gaussian Process (GP), i.e., a Bayesian approach for non-linear regression. The function to estimate with the GP was the ABR's amplitude across stimulus levels, from which hearing threshold was ultimately inferred. Active learning rules were also designed to automatically adjust the stimulus level and efficiently locate hearing threshold. Simulation results show test time reductions of up to ∼50% for the GP compared to a sequentially applied Hotelling's T2 test, which does not consider correlations across ABR waveforms. A case study was also included to briefly assess the GP approach in ABR data from an adult volunteer. © 1964-2012 IEEE.",37768792,Article,Final,All Open Access; Green Open Access,Scopus,2-s2.0-85173057207
Robler S.K.; Platt A.; Jenson C.D.; Meade Inglis S.; Hofstetter P.; Ross A.A.; Wang N.-Y.; Labrique A.; Gallo J.J.; Egger J.R.; Emmett S.D.,"Robler, Samantha Kleindienst (57201022586); Platt, Alyssa (23480456100); Jenson, Cole D. (57200534638); Meade Inglis, S. (58396811400); Hofstetter, Philip (57205441590); Ross, Alexandra A. (57197754297); Wang, Nae-Yuh (7404340658); Labrique, Alain (6505557971); Gallo, Joseph J. (7101605709); Egger, Joseph R. (16439174800); Emmett, Susan D. (36052713800)",57201022586; 23480456100; 57200534638; 58396811400; 57205441590; 57197754297; 7404340658; 6505557971; 7101605709; 16439174800; 36052713800,Changing the Paradigm for School Hearing Screening Globally: Evaluation of Screening Protocols from Two Randomized Trials in Rural Alaska,2023,Ear and Hearing,44,4,,877,893,16,1,10.1097/AUD.0000000000001336,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163376021&doi=10.1097%2fAUD.0000000000001336&partnerID=40&md5=8a2495fa2b7efeddbcb8b40af639b6b3,"Objectives: Diagnostic accuracy was evaluated for various screening tools, including mobile health (mHealth) pure-Tone screening, tympanometry, distortion product otoacoustic emissions (DPOAE), and inclusion of high frequencies to determine the most accurate screening protocol for identifying children with hearing loss in rural Alaska where the prevalence of middle ear disease is high. Design: Hearing screening data were collected as part of two cluster randomized trials conducted in 15 communities in rural northwest Alaska. All children enrolled in school from preschool to 12th grade were eligible. Analysis was limited to data collected 2018 to 2019 (n = 1449), when both trials were running and measurement of high frequencies were included in the protocols. Analyses included estimates of diagnostic accuracy for each screening tool, as well as exploring performance by age and grade. Multiple imputation was used to assess diagnostic accuracy in younger children, where missing data were more prevalent due to requirements for conditioned responses. The audiometric reference standard included otoscopy, tympanometry, and high frequencies to ensure detection of infection-related and noise-induced hearing loss. Results: Both the mHealth pure-Tone screen and DPOAE screen performed better when tympanometry was added to the protocol (increase in sensitivity of 19.9%, 95% Confidence Interval (CI): 15.9 to 24.1 for mHealth screen, 17.9%, 95% CI: 14.0 to 21.8 for high-frequency mHealth screen, and 10.4%, 95% CI: 7.5 to 13.9 for DPOAE). The addition of 6 kHz to the mHealth pure-Tone screen provided an 8.7 percentage point improvement in sensitivity (95% CI: 6.5 to 11.3). Completeness of data for both the reference standard and the mHealth screening tool differed substantially by age, due to difficulty with behavioral testing in young children. By age 7, children were able to complete behavioral testing, and data indicated that high-frequency mHealth pure-Tone screen with tympanometry was the superior tool for children 7 years and older. For children 3 to 6 years of age, DPOAE plus tympanometry performed the best, both for complete data and multiply imputed data, which better approximates accuracy for children with missing data. Conclusions: This study directly evaluated pure-Tone, DPOAE, and tympanometry tools as part of school hearing screening in rural Alaskan children (3 to 18+ years). Results from this study indicate that tympanometry is a key component in the hearing screening protocol, particularly in environments with higher prevalence of infection-related hearing loss. DPOAE is the preferred hearing screening tool when evaluating children younger than 7 years of age (below 2nd grade in the United States) due to the frequency of missing data with behavioral testing in this age group. For children 7 years and older, the addition of high frequencies to pure-Tone screening increased the accuracy of screening, likely due to improved identification of hearing loss from noise exposure. The lack of a consistent reference standard in the literature makes comparing across studies challenging. In our study with a reference standard inclusive of otoscopy, tympanometry, and high frequencies, less than ideal sensitivities were found even for the most sensitive screening protocols, suggesting more investigation is necessary to ensure screening programs are appropriately identifying noise-and infection-related hearing loss in rural, low-resource settings. © 2023 Lippincott Williams and Wilkins. All rights reserved.",36907833,Article,Final,All Open Access; Green Open Access; Hybrid Gold Open Access,Scopus,2-s2.0-85163376021
Merchant G.R.; Neely S.T.,"Merchant, Gabrielle R. (36664946800); Neely, Stephen T. (7003829177)",36664946800; 7003829177,Conductive Hearing Loss Estimated from Wideband Acoustic Immittance Measurements in Ears with Otitis Media with Effusion,2023,Ear and Hearing,44,4,,721,731,10,4,10.1097/AUD.0000000000001317,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85163345635&doi=10.1097%2fAUD.0000000000001317&partnerID=40&md5=f77b86fcbb03aa9e99349f54036826b9,"Objectives: Previous work has shown that wideband acoustic immittance (WAI) is sensitive to the volume of effusion present in ears with otitis media with effusion (OME). Prior work also demonstrates that the volume of the effusion appears to drive, or at least play a significant role in, how much conductive hearing loss (CHL) a child has due to a given episode of OME. Given this association, the goal of this work was to determine how well CHL could be estimated directly from WAI in ears with OME. Design: Sixty-Three ears from a previously published study on OME (ages 9 months to 11 years, 2 months) were grouped based on effusion volume (full, partial, or clear) determined during tympanostomy tube placement surgery and compared with age-matched normal control ears. Audiometric thresholds were obtained for a subset of the 34 ears distributed across the four groups. An electrical-Analog model of ear-canal acoustics and middle-ear mechanics was fit to the measured WAI from individual ears. Initial estimates of CHL were derived from either (1) average absorbance or (2) the model component thought to represent damping in the ossicular chain. Results: The analog model produced good fits for all effusion-volume groups. The two initial CHL estimates were both well correlated (87% and 81%) with the pure-Tone average hearing thresholds used to define the CHL. However, in roughly a third of the ears (11/34), the estimate based on damping was too large by nearly a factor of two. This observation motivated improved CHL estimates. Conclusions: Our CHL estimation method can estimate behavioral audiometric thresholds (CHL) within a margin of error that is small enough to be clinically meaningful. The importance of this finding is increased by the challenges associated with behavioral audiometric testing in pediatric populations, where OME is the most common. In addition, the discovery of two clusters in the damping-related CHL estimate suggests the possible existence of two distinctly different types of ears: pressure detectors and power detectors. © 2023 Lippincott Williams and Wilkins. All rights reserved.",36607739,Article,Final,,Scopus,2-s2.0-85163345635
Liu Y.; Gong Q.,"Liu, Yin (57192571399); Gong, Qin (7201440945)",57192571399; 7201440945,Deep Learning Models for Predicting Hearing Thresholds Based on Swept-Tone Stimulus-Frequency Otoacoustic Emissions,2024,Ear and Hearing,45,2,,465,475,10,0,10.1097/AUD.0000000000001443,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85185404954&doi=10.1097%2fAUD.0000000000001443&partnerID=40&md5=ff03ccbbe30d6ad7e30b40bd01c99264,"Objectives: This study aims to develop deep learning (DL) models for the quantitative prediction of hearing thresholds based on stimulus-frequency otoacoustic emissions (SFOAEs) evoked by swept tones. Design: A total of 174 ears with normal hearing and 388 ears with sensorineural hearing loss were studied. SFOAEs in the 0.3 to 4.3 kHz frequency range were recorded using linearly swept tones at a rate of 2 Hz/msec, with stimulus level changing from 40 to 60 dB SPL in 10 dB steps. Four DL models were used to predict hearing thresholds at octave frequencies from 0.5 to 4 kHz. The models - a conventional convolutional neural network (CNN), a hybrid CNN-k-nearest neighbor (KNN), a hybrid CNN-support vector machine (SVM), and a hybrid CNN-random forest (RF) - were individually built for each frequency. The input to the DL models was the measured raw SFOAE amplitude spectra and their corresponding signal to noise ratio spectra. All DL models shared a CNN-based feature self-extractor. They differed in that the conventional CNN utilized a fully connected layer to make the final regression decision, whereas the hybrid CNN-KNN, CNN-SVM, and CNN-RF models were designed by replacing the last fully connected layer of CNN model with a traditional machine learning (ML) regressor, that is, KNN, SVM, and RF, respectively. The model performance was evaluated using mean absolute error and SE averaged over 20 repetitions of 5 × 5 fold nested cross-validation. The performance of the proposed DL models was compared with two types of traditional ML models. Results: The proposed SFOAE-based DL models resulted in an optimal mean absolute error of 5.98, 5.22, 5.51, and 6.06 dB at 0.5, 1, 2, and 4 kHz, respectively, superior to that obtained by the traditional ML models. The produced SEs were 8.55, 7.27, 7.58, and 7.95 dB at 0.5, 1, 2, and 4 kHz, respectively. All the DL models outperformed any of the traditional ML models. Conclusions: The proposed swept-tone SFOAE-based DL models were capable of quantitatively predicting hearing thresholds with satisfactory performance. With DL techniques, the underlying relationship between SFOAEs and hearing thresholds at disparate frequencies was explored and captured, potentially improving the diagnostic value of SFOAEs. © 2024 Wolters Kluwer Health. All rights reserved.",37990395,Article,Final,,Scopus,2-s2.0-85185404954
Nicastri M.; Lo Castro F.; Giallini I.; Inguscio B.M.S.; Mariani L.; Portanova G.; Ruoppolo G.; Orlando M.P.; Dincer D'Alessandro H.; Mancini P.,"Nicastri, Maria (6507589124); Lo Castro, Fabio (13806101900); Giallini, Ilaria (57189901971); Inguscio, Bianca Maria Serena (57204127025); Mariani, Laura (56122815800); Portanova, Ginevra (57202151103); Ruoppolo, Giovanni (6701582439); Orlando, Maria Patrizia (57078149400); Dincer D'Alessandro, Hilal (57203864504); Mancini, Patrizia (56962761900)",6507589124; 13806101900; 57189901971; 57204127025; 56122815800; 57202151103; 6701582439; 57078149400; 57203864504; 56962761900,Vocal singing skills by cochlear implanted children without formal musical training: Familiar versus unfamiliar songs,2023,International Journal of Pediatric Otorhinolaryngology,170,,111605,,,,1,10.1016/j.ijporl.2023.111605,https://www.scopus.com/inward/record.uri?eid=2-s2.0-85160107869&doi=10.1016%2fj.ijporl.2023.111605&partnerID=40&md5=8eeb5633017aa8a867c7724814f7bb0b,"Objectives: Vocal singing skills in pediatric CI users are not much known due to the limited number of studies. The principal aim of the present study was to evaluate vocal singing skills in Italian pediatric CI users. A further aim was to investigate factors that may significantly influence their performance. Methods: The participants were twenty-two implanted children and twenty-two hearing peers. Their vocal singing skills for familiar (“Happy Birthday to You”) and unfamiliar songs (“Baton Twirler” from Pam Pam 2- Tribute to Gordon) were evaluated in relation to their music perception (the Gordon test). Acoustic analysis was performed using Praat and MATLAB software. Nonparametric statistical tests and principal component analysis (PCA) were used to analyze the data. Results: Hearing children outperformed implanted peers in both music perception and vocal singing tasks (all measures regarding intonation, vocal range, melody, and memory for the familiar song versus measures regarding intonation and overall melody production for the unfamiliar song). Music perception and vocal singing performances revealed strong correlations. For the familiar and unfamiliar songs, age-appropriate vocal singing was observed in 27.3% versus 45.4% of children, all implanted within 24 months of age. Age at implantation and duration of CI experience were moderately correlated with the total score obtained from the Gordon test. Conclusion: Implanted children show limited vocal singing skills in comparison to their hearing peers. However, some children implanted within 24 months of age seem to achieve vocal singing skills as good as their hearing peers. Future research could be useful to better understand the role of brain plasticity to implement specific training programs for both music perception and vocal singing. © 2023 Elsevier B.V.",37245390,Article,Final,,Scopus,2-s2.0-85160107869
