title,abstract,database,database_id,doi
analysis of the audiogram shape in patients with idiopathic sudden sensorineural hearing loss using a cluster analysis,"281. Ear Nose Throat J. 2018 Jul;97(7):E36-E40. doi: 10.1177/014556131809700706.Analysis of the audiogram shape in patients with idiopathic sudden sensorineural hearing loss using a cluster analysis.Watanabe T(1), Suzuki M.Author information:(1)Department of Otolaryngology, Head and Neck Surgery, Oita University Faculty of Medicine, 1-1, Idaigoka, Hasama-machi, Yufu-city, Oita 879-5593, Japan. twatanab@med.oita-u.ac.jp.We performed a cluster analysis to classify the audiogram shape in patients with idiopathic sudden sensorineural hearing loss (ISSNHL). We also investigated whether the audiogram shape is a prognostic indicator in the management of ISSNHL. A total of 115 inpatients with ISSNHL treated between 2001 and 2010 were analyzed. The data collected included age, sex, duration of hearing loss at the time of treatment, and the presence or absence of tinnitus, vertigo, diabetes, nystagmus, and canal paresis. A hierarchical cluster analysis was performed using the hearing threshold for each frequency on audiograms as variables. A logistic regression model was used for the prognostic analysis. The audiogram shape was classified into four clusters: (1) crossing horizontally pattern of all tones; (2) up-sloping pattern of low-tone loss; (3) deaf pattern; and (4) down-sloping pattern of high-tone loss. The age of the patient, presence of canal paresis, and audiogram shape showed statistically significant relationships with hearing improvement. The audiogram shape based on the cluster analysis demonstrated a significant relationship with hearing improvement in patients with ISSNHL. Further studies are needed to elucidate the underlying etiology of each audiogram shape.DOI: 10.1177/014556131809700706",pubmed,30036445,10.1177/014556131809700706
a novel unsupervised spectral clustering for puretone audiograms towards hearing aid filter bank design and initial configurations,"The current practice of adjusting hearing aids (HA) is tiring and time-consuming for both patients and audiologists. Of hearing-impaired people, 40–50% are not satisfied with their HAs. In addition, good designs of HAs are often avoided since the process of fitting them is exhausting. To improve the fitting process, a machine learning (ML) unsupervised approach is proposed to cluster the pure-tone audiograms (PTA). This work applies the spectral clustering (SP) approach to group audiograms according to their similarity in shape. Different SP approaches are tested for best results and these approaches were evaluated by Silhouette, Calinski-Harabasz, and Davies-Bouldin criteria values. Kutools for Excel add-in is used to generate audiograms’ population, annotated using the results from SP, and different criteria values are used to evaluate population clusters. Finally, these clusters are mapped to a standard set of audiograms used in HA characterization. The results indicated that grouping the data in 8 groups or 10 results in ones with high evaluation criteria. The evaluation for population audiograms clusters shows good performance, as it resulted in a Silhouette coefficient >0.5. This work introduces a new concept to classify audiograms using an ML algorithm according to the audiograms’ similarity in shape. © 2021 by the authors. Licensee MDPI, Basel, Switzerland.",scopus,2-s2.0-85122034103,10.3390/app12010298
audiometric phenotypes of noiseinduced hearing loss by datadriven cluster analysis and their relevant characteristics,"784. Front Med (Lausanne). 2021 Mar 25;8:662045. doi: 10.3389/fmed.2021.662045. eCollection 2021.Audiometric Phenotypes of Noise-Induced Hearing Loss by Data-Driven Cluster Analysis and Their Relevant Characteristics.Wang Q(1)(2)(3), Qian M(1)(2)(3), Yang L(1)(4), Shi J(1)(4), Hong Y(1)(4), Han K(1)(2)(3), Li C(5), Lin J(5), Huang Z(1)(2)(3)(4), Wu H(1)(2)(3).Author information:(1)Department of Otolaryngology-Head and Neck Surgery, Ninth People's Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, China.(2)Ear Institute, Shanghai Jiao Tong University School of Medicine, Shanghai, China.(3)Shanghai Key Laboratory of Translational Medicine on Ear and Nose Diseases, Shanghai, China.(4)Hearing and Speech Center, Ninth People's Hospital, Shanghai Jiao Tong University School of Medicine, Shanghai, China.(5)Network and Information Center, Shanghai Jiao Tong University, Shanghai, China.Background: The definition of notched audiogram for noise-induced hearing loss (NIHL) is presently based on clinical experience, but audiometric phenotypes of NIHL are highly heterogeneous. The data-driven clustering of subtypes could provide refined characteristics of NIHL, and help identify individuals with typical NIHL at diagnosis. Methods: This cross-sectional study initially recruited 12,218 occupational noise-exposed employees aged 18-60 years from two factories of a shipyard in Eastern China. Of these, 10,307 subjects with no history of otological injurie or disease, family history of hearing loss, or history of ototoxic drug use were eventually enrolled. All these subjects completed health behavior questionnaires, cumulative noise exposure (CNE) measurement, and pure-tone audiometry. We did data-driven cluster analysis (k-means clustering) in subjects with hearing loss audiograms (n = 6,599) consist of two independent datasets (n = 4,461 and n = 2,138). Multinomial logistic regression was performed to analyze the relevant characteristics of subjects with different audiometric phenotypes compared to those subjects with normal hearing audiograms (n = 3,708). Results: A total of 10,307 subjects (9,165 males [88.9%], mean age 34.5 [8.8] years, mean CNE 91.2 [22.7] dB[A]) were included, 3,708 (36.0%) of them had completely normal hearing, the other 6,599 (64.0%) with hearing loss audiograms were clustered into four audiometric phenotypes, which were replicable in two distinct datasets. We named the four clusters as the 4-6 kHz sharp-notched, 4-6 kHz flat-notched, 3-8 kHz notched, and 1-8 kHz notched audiogram. Among them, except for the 4-6 kHz flat-notched audiogram which was not significantly related to NIHL, the other three phenotypes with different relevant characteristics were strongly associated with noise exposure. In particular, the 4-6 kHz sharp-notched audiogram might be a typical subtype of NIHL. Conclusions: By data-driven cluster analysis of the large-scale noise-exposed population, we identified three audiometric phenotypes associated with distinct NIHL subtypes. Data-driven sub-stratification of audiograms might eventually contribute to the precise diagnosis and treatment of NIHL.Copyright © 2021 Wang, Qian, Yang, Shi, Hong, Han, Li, Lin, Huang and Wu.DOI: 10.3389/fmed.2021.662045PMCID: PMC8027076",pubmed,33842516,10.3389/fmed.2021.662045
using cluster analysis to classify audiogram shapes references,"The purpose of this study was to design a statistical classification system of audiogram shapes in order to improve and integrate shape recognition across clinical settings. The study included 1633 adult subjects with normal hearing or symmetric sensorineural hearing impairment who underwent pure-tone audiometry between July 2007 and December 2008. K-means cluster analysis was employed to categorize audiometric shapes. Eleven audiogram shapes were identified: rising, flat, peaked 8-kHz dip, 4-kHz dip, 8-kHz dip, mild sloping, severe 8-kHz dip, sloping, abrupt loss, severe sloping, and profound abrupt loss. By using the classification system and nomenclature identified for audiogram shapes as outlined in this study, errors based on personal experiences can be reduced and a consistency can be developed across clinics. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",psychinfo,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc9&DO=10.3109%2f14992021003796887
datadriven segmentation of audiometric phenotypes across a large clinical cohort,"178. Sci Rep. 2020 Apr 21;10(1):6704. doi: 10.1038/s41598-020-63515-5.Data-driven segmentation of audiometric phenotypes across a large clinical cohort.Parthasarathy A(1)(2), Romero Pinto S(3), Lewis RM(3)(4), Goedicke W(3), Polley DB(3)(5).Author information:(1)Eaton-Peabody Laboratories, Department of Otolaryngology - Head and Neck Surgery, Massachusetts Eye and Ear, Boston, MA, 02114, USA. Aravindakshan_Parthasarathy@meei.harvard.edu.(2)Department of Otolaryngology - Head and Neck Surgery, Harvard Medical School, Boston, MA, 02114, USA. Aravindakshan_Parthasarathy@meei.harvard.edu.(3)Eaton-Peabody Laboratories, Department of Otolaryngology - Head and Neck Surgery, Massachusetts Eye and Ear, Boston, MA, 02114, USA.(4)National Military Audiology and Speech Pathology Center, Walter Reed National Military Medical Center, Bethesda, MD, 20889, USA.(5)Department of Otolaryngology - Head and Neck Surgery, Harvard Medical School, Boston, MA, 02114, USA.Pure tone audiograms are used to assess the degree and underlying source of hearing loss. Audiograms are typically categorized into a few canonical types, each thought to reflect distinct pathologies of the ear. Here, we analyzed 116,400 patient records from our clinic collected over a 24-year period and found that standard categorization left 46% of patient records unclassified. To better account for the full spectrum of hearing loss profiles, we used a Gaussian Mixture Model (GMM) to segment audiograms without any assumptions about frequency relationships, interaural symmetry or etiology. The GMM converged on ten types, featuring varying degrees of high-frequency hearing loss, flat loss, mixed loss, and notched profiles, with predictable relationships to patient age and sex. A separate GMM clustering of 15,380 audiograms from the National Health and Nutrition Examination Survey (NHANES) identified six similar types, that only lacked the more extreme hearing loss configurations observed in our patient cohort. Whereas traditional approaches distill hearing loss configurations down to a few canonical types by disregarding much of the underlying variability, an objective probabilistic model that accounted for all of the data identified an organized, but more heterogenous set of audiogram types that was consistent across two large clinical databases.DOI: 10.1038/s41598-020-63515-5PMCID: PMC7174357",pubmed,32317648,10.1038/s41598-020-63515-5
a novel method for audiogram digitization in audiological reports,"An audiogram records the hearing status, including each hearing threshold at multiple frequencies. While deep learning is gradually maturing in the clinical research approach, audiologists could speed up their diagnostic process with audiogram digitization for handwritten graphs or electronically generated images from instruments. However, given the diversity of audiogram symbols and formats, the existing audiogram digitization model has room for improvement in recognition accuracy. We propose a multi-stage workflow to enhance accuracy by integrating YOLOv5 and the optical character recognition (OCR) model. Our proposed audiogram digitization model could identify all audiogram symbols with an accuracy rate of 98%. We hope that this model could help future research in audiology.",ieee,2169-3536,10.1109/ACCESS.2024.3375362
design and implementation of a portable automated audiometer for hearing classification using machine learning approaches,"Audiometric tests can identify the hearing loss at specific frequencies using the audiogram. The aim and objectives of the study were (i) to develop an automated audiometer for self-diagnosing the hearing ability of the patient; (ii) to extract the features from the acoustic signals and to classify the normal and profound hearing loss patients using different machine learning algorithms; (iii) to validate the hearing loss classification using six-frequency average (6-FA) method based on simple linear regression analysis and machine learning algorithms. The study is conducted among 150 patients, including 75 patients with normal hearing ability and 75 patients with profound hearing loss. The total population of 150 underwent audiometric test both in the soundproof audiometric room and in the normal field environment. Based on the patient response, the intensity and frequency are changed automatically, and the audiogram is plotted by the principle of Artificial Neural Network learning procedures. The overall accuracy produced by classification of normal and profound hearing loss patients using Support Vector Machine (SVM), k-Nearest Neighbor classifier, and Naïve Bayes classifier is 97%, 96%, and 95%, respectively. The results indicated that the SVM classifier outperforms the other two classifiers well. The preliminary audiometric test can be performed remotely and then consulted with an audiologist. Thus, the patient could operate the developed prototype independently and get a consultation from trained medical personnel.  © 2022 National Taiwan University.",scopus,2-s2.0-85132537674,10.4015/S1016237222500351
a novel method for classifying hearing impairment in epidemiological studies of aging the wisconsin agerelated hearing impairment classification scale references,"Purpose: Longitudinal population-based cohort data were used to develop a standardized classification system for age-related hearing impairment using thresholds for frequencies (0.5-8 kHz) typically measured in cohort studies. Method: Audiometric testing data collected in the Epidemiology of Hearing Loss Study from participants (n = 1,369) with four visits (1993-1995, 1998-2000, 2003-2005, and 2009-2010) were included (10,952 audiograms). Cluster analyses (Wald's method) were used to identify audiometric patterns. Maximum allowable threshold values were defined for each cluster to create an ordered scale. Progression was defined as a two-step change. Results: An eight-step scale was developed to capture audiogram shape and severity of hearing impairment. Of the 1,094 participants classified as having normal hearing based on a pure-tone average, only 25% (n = 277) were classified as Level 1 (all thresholds <= 20 dB HL) on the new scale, whereas 17% (n = 182) were Levels 4-6. During the 16-year follow-up, 64.9% of those at Level 1 progressed. There was little regression using this scale. Conclusions: This is the first scale developed from population-based longitudinal cohort data to capture audiogram shape across time. This simple, standardized scale is easy to apply, reduces misclassification of normal hearing, and may be a useful method for identifying risk factors for early, preclinical, age-related changes in hearing. (PsycInfo Database Record (c) 2021 APA, all rights reserved)",psychinfo,,https://ovidsp.ovid.com/ovidweb.cgi?T=JS&CSC=Y&NEWS=N&PAGE=fulltext&D=psyc19&DO=10.1044%2f2019_AJA-19-00021
a software tool for puretone audiometry classification of audiograms for inclusion of patients in clinical trials english version softwaretool fr reintonaudiometrie klassifizierung von audiogrammen fr den einschluss von patienten in klinische studien englische version,"Objective: Selecting subjects for clinical trials on hearing loss therapies relies on the patient meeting the audiological inclusion criteria. In studies on the treatment of idiopathic sudden sensorineural hearing loss, the patient’s acute audiogram is usually compared with a previous audiogram, the audiogram of the non-affected ear, or a normal audiogram according to an ISO standard. Generally, many more patients are screened than actually fulfill the particular inclusion criteria. The inclusion criteria often require a calculation of pure-tone averages, selection of the most affected frequencies, and calculation of hearing loss differences. Materials and methods: A software tool was developed to simplify and accelerate this inclusion procedure for investigators to estimate the possible recruitment rate during the planning phase of a clinical trial and during the actual study. This tool is Microsoft Excel-based and easy to modify to meet the particular inclusion criteria of a specific clinical trial. The tool was retrospectively evaluated on 100 patients with acute hearing loss comparing the times for classifying automatically and manually. The study sample comprised 100 patients with idiopathic sudden sensorineural hearing loss. Results and conclusion: The age- and sex-related normative audiogram was calculated automatically by the tool and the hearing impairment was graded. The estimated recruitment rate of our sample was quickly calculated. Information about meeting the inclusion criteria was provided instantaneously. A significant reduction of 30 % in the time required for classifying (30 s per patient) was observed. © 2015, The Author(s).",scopus,2-s2.0-84948131830,10.1007/s00106-015-0089-3
audiogram estimation using bayesian active learning,"Two methods for estimating audiograms quickly and accurately using Bayesian active learning were developed and evaluated. Both methods provided an estimate of threshold as a continuous function of frequency. For one method, six successive tones with decreasing levels were presented on each trial and the task was to count the number of tones heard. A Gaussian Process was used for classification and maximum-information sampling to determine the frequency and levels of the stimuli for the next trial. The other method was based on a published method using a Yes/No task but extended to account for lapses. The obtained audiograms were compared to conventional audiograms for 40 ears, 19 of which were hearing impaired. The threshold estimates for the active-learning methods were systematically from 2 to 4 dB below (better than) those for the conventional audiograms, which may indicate a less conservative response criterion (a greater willingness to respond for a given amount of sensory information). Both active-learning methods were able to allow for wrong button presses (due to lapses of attention) and provided accurate audiogram estimates in less than 50 trials or 4 min. For a given level of accuracy, the counting task was slightly quicker than the Yes/No task. © 2018 Acoustical Society of America.",scopus,2-s2.0-85051116924,10.1121/1.5047436
